year,event_type,count
2000,Environment/Heatwave,1
2000,Flood,1
2000,Cyclone,2
2000,Bushfire,1
2001,Storm,3
2001,Flood,1
2002,Storm,1
2002,Bushfire,1
2003,Storm,1
2003,Bushfire,3
2004,Storm,2
2005,Storm,4
2005,Flood,3
2005,Bushfire,1
2006,Storm,1
2006,Cyclone,1
2006,Bushfire,2
2007,Landslide,1
2007,Storm,2
2007,Flood,2
2007,Bushfire,2
2008,Storm,1
2008,Flood,4
2009,Flood,2
2009,Bushfire,1
2010,Flood,3
2011,Flood,2
2011,Cyclone,2
2011,Bushfire,1
2012,Environment/Heatwave,1
2012,Flood,2
2013,Tsunami,2
2013,Environment/Heatwave,1
2013,Cyclone,1
2014,Storm,1
2014,Bushfire,2
2015,Cyclone,1
2015,Bushfire,2
2016,Storm,1
2016,Flood,3
2016,Bushfire,2
2017,Storm,1
2017,Cyclone,1
2017,Bushfire,3
2018,Flood,1
2018,Cyclone,1
2018,Bushfire,2
2019,Cyclone,1
2019,Bushfire,4
2020,Storm,1
2020,Flood,1
2020,Bushfire,2
2021,Bushfire,2
2022,Flood,3
2022,Bushfire,1
