Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,23000,2024,1,23,41.2,1,Y
IDCJAC0010,23000,2024,12,5,40.1,1,Y
IDCJAC0010,23000,2024,3,9,39.9,1,Y
IDCJAC0010,23000,2024,2,4,39.6,1,N
IDCJAC0010,23000,2024,3,11,39.2,1,Y
IDCJAC0010,23000,2024,3,10,38.8,1,Y
IDCJAC0010,23000,2024,12,15,38.7,1,Y
IDCJAC0010,23000,2024,12,16,38.4,1,Y
IDCJAC0010,23000,2024,2,12,37.9,1,N
IDCJAC0010,23000,2024,2,27,37.6,1,N
IDCJAC0010,23000,2024,11,22,37.5,1,N
IDCJAC0010,23000,2024,3,8,37.4,1,Y
IDCJAC0010,23000,2024,1,12,37.2,1,Y
IDCJAC0010,23000,2024,3,12,37.1,1,Y
IDCJAC0010,23000,2024,12,25,36.6,1,Y
IDCJAC0010,23000,2024,12,2,36,1,Y
IDCJAC0010,23000,2024,11,21,35.8,1,N
IDCJAC0010,23000,2024,1,20,35.7,1,Y
IDCJAC0010,23000,2024,2,21,35.7,1,Y
IDCJAC0010,23000,2024,11,16,35.7,1,N
IDCJAC0010,23000,2024,1,5,35,1,Y
IDCJAC0010,23000,2024,1,15,34.9,1,Y
IDCJAC0010,23000,2024,2,3,34.7,1,N
IDCJAC0010,23000,2024,2,18,34.7,1,N
IDCJAC0010,23000,2024,3,6,34.5,1,Y
IDCJAC0010,23000,2024,3,31,34.5,1,Y
IDCJAC0010,23000,2024,3,5,34.1,1,Y
IDCJAC0010,23000,2024,2,19,33.8,1,N
IDCJAC0010,23000,2024,11,26,33.8,1,N
IDCJAC0010,23000,2024,2,11,33.7,1,N
IDCJAC0010,23000,2024,12,19,33.7,1,Y
IDCJAC0010,23000,2024,11,2,33.6,1,N
IDCJAC0010,23000,2024,1,11,33.5,1,Y
IDCJAC0010,23000,2024,2,22,33.4,1,N
IDCJAC0010,23000,2024,3,13,33.4,1,Y
IDCJAC0010,23000,2024,3,30,33.4,1,Y
IDCJAC0010,23000,2024,10,16,33.4,1,Y
IDCJAC0010,23000,2024,12,6,33.4,1,Y
IDCJAC0010,23000,2024,10,21,33.2,1,Y
IDCJAC0010,23000,2024,1,16,32.9,1,Y
IDCJAC0010,23000,2024,2,17,32.9,1,N
