Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,40913,2024,1,22,35.7,1,N
IDCJAC0010,40913,2024,12,8,35.7,1,Y
IDCJAC0010,40913,2024,1,27,34.9,1,N
IDCJAC0010,40913,2024,2,23,34.5,1,Y
IDCJAC0010,40913,2024,1,19,34,1,N
IDCJAC0010,40913,2024,1,21,33.5,1,N
IDCJAC0010,40913,2024,9,2,33.5,1,Y
IDCJAC0010,40913,2024,11,14,33.5,1,N
IDCJAC0010,40913,2024,1,14,33.2,1,N
IDCJAC0010,40913,2024,2,6,33.1,1,Y
IDCJAC0010,40913,2024,2,22,33.1,1,Y
IDCJAC0010,40913,2024,2,2,32.9,1,Y
IDCJAC0010,40913,2024,8,31,32.9,1,Y
IDCJAC0010,40913,2024,1,18,32.8,1,N
IDCJAC0010,40913,2024,3,2,32.7,1,Y
IDCJAC0010,40913,2024,10,6,32.5,1,Y
IDCJAC0010,40913,2024,2,26,32.3,1,Y
IDCJAC0010,40913,2024,3,4,32.3,1,Y
IDCJAC0010,40913,2024,1,10,32.1,1,N
IDCJAC0010,40913,2024,1,26,32.1,1,N
IDCJAC0010,40913,2024,12,28,32.1,1,Y
IDCJAC0010,40913,2024,10,7,32,1,Y
IDCJAC0010,40913,2024,2,14,31.9,1,Y
IDCJAC0010,40913,2024,1,25,31.8,1,N
IDCJAC0010,40913,2024,2,3,31.8,1,Y
IDCJAC0010,40913,2024,4,3,31.8,1,Y
IDCJAC0010,40913,2024,2,21,31.7,1,Y
IDCJAC0010,40913,2024,11,5,31.7,1,N
IDCJAC0010,40913,2024,1,4,31.6,1,N
IDCJAC0010,40913,2024,2,1,31.6,1,Y
IDCJAC0010,40913,2024,2,5,31.6,1,Y
IDCJAC0010,40913,2024,10,24,31.6,1,Y
IDCJAC0010,40913,2024,1,20,31.5,1,N
IDCJAC0010,40913,2024,8,29,31.5,1,Y
IDCJAC0010,40913,2024,11,9,31.5,1,N
IDCJAC0010,40913,2024,1,29,31.4,1,N
IDCJAC0010,40913,2024,2,29,31.4,1,Y
IDCJAC0010,40913,2024,3,1,31.4,1,Y
IDCJAC0010,40913,2024,10,8,31.3,1,Y
IDCJAC0010,40913,2024,2,20,31.2,1,Y
IDCJAC0010,40913,2024,2,24,31.2,1,Y
IDCJAC0010,40913,2024,1,5,31.1,1,N
IDCJAC0010,40913,2024,2,4,31.1,1,Y
IDCJAC0010,40913,2024,12,13,31.1,1,Y
IDCJAC0010,40913,2024,12,27,31.1,1,Y
IDCJAC0010,40913,2024,12,29,31.1,1,Y
IDCJAC0010,40913,2024,9,1,31,1,Y
IDCJAC0010,40913,2024,12,2,31,1,Y
IDCJAC0010,40913,2024,12,9,31,1,Y
IDCJAC0010,40913,2024,1,3,30.9,1,N
IDCJAC0010,40913,2024,1,13,30.9,1,N
IDCJAC0010,40913,2024,2,28,30.9,1,Y
IDCJAC0010,40913,2024,11,8,30.9,1,N
IDCJAC0010,40913,2024,12,7,30.9,1,Y
IDCJAC0010,40913,2024,1,31,30.8,1,N
IDCJAC0010,40913,2024,2,18,30.7,1,Y
IDCJAC0010,40913,2024,11,7,30.7,1,N
IDCJAC0010,40913,2024,11,28,30.7,1,N
IDCJAC0010,40913,2024,2,11,30.6,1,Y
IDCJAC0010,40913,2024,2,27,30.6,1,Y
IDCJAC0010,40913,2024,12,6,30.6,1,Y
IDCJAC0010,40913,2024,12,21,30.6,1,Y
IDCJAC0010,40913,2024,12,23,30.6,1,Y
IDCJAC0010,40913,2024,12,24,30.6,1,Y
IDCJAC0010,40913,2024,12,30,30.6,1,Y
IDCJAC0010,40913,2024,2,8,30.5,1,Y
IDCJAC0010,40913,2024,4,8,30.5,1,Y
IDCJAC0010,40913,2024,12,18,30.5,1,Y
IDCJAC0010,40913,2024,1,9,30.4,1,Y
IDCJAC0010,40913,2024,3,20,30.4,1,Y
IDCJAC0010,40913,2024,11,1,30.4,1,N
IDCJAC0010,40913,2024,1,17,30.3,1,N
IDCJAC0010,40913,2024,2,7,30.3,1,Y
IDCJAC0010,40913,2024,3,15,30.3,1,Y
IDCJAC0010,40913,2024,4,6,30.3,1,Y
IDCJAC0010,40913,2024,12,17,30.3,1,Y
IDCJAC0010,40913,2024,2,17,30.1,1,Y
IDCJAC0010,40913,2024,10,19,30.1,1,Y
IDCJAC0010,40913,2024,12,3,30.1,1,Y
IDCJAC0010,40913,2024,12,22,30.1,1,Y
IDCJAC0010,40913,2024,1,12,30,1,N
IDCJAC0010,40913,2024,1,24,30,1,N
IDCJAC0010,40913,2024,1,30,30,1,N
IDCJAC0010,40913,2024,2,25,30,1,Y
IDCJAC0010,40913,2024,3,3,30,1,Y
IDCJAC0010,40913,2024,3,7,30,1,Y
IDCJAC0010,40913,2024,11,10,30,1,N
IDCJAC0010,40913,2024,1,11,29.9,1,N
IDCJAC0010,40913,2024,11,12,29.9,1,N
IDCJAC0010,40913,2024,12,12,29.9,1,Y
IDCJAC0010,40913,2024,1,28,29.8,1,N
IDCJAC0010,40913,2024,2,12,29.8,1,Y
IDCJAC0010,40913,2024,8,30,29.8,1,Y
IDCJAC0010,40913,2024,10,25,29.8,1,Y
IDCJAC0010,40913,2024,11,13,29.8,1,N
IDCJAC0010,40913,2024,12,5,29.8,1,Y
IDCJAC0010,40913,2024,12,15,29.8,1,Y
