Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,70351,2024,11,25,35.3,1,N
IDCJAC0010,70351,2024,3,12,34.5,1,N
IDCJAC0010,70351,2024,12,16,34.5,1,Y
IDCJAC0010,70351,2024,11,24,34.3,1,N
IDCJAC0010,70351,2024,12,26,34.1,1,Y
IDCJAC0010,70351,2024,11,23,33.5,1,N
IDCJAC0010,70351,2024,12,6,33.5,1,Y
IDCJAC0010,70351,2024,3,1,33.2,1,N
IDCJAC0010,70351,2024,12,15,33,1,Y
IDCJAC0010,70351,2024,1,21,32.9,1,Y
IDCJAC0010,70351,2024,2,4,32.9,1,N
IDCJAC0010,70351,2024,2,29,32.9,1,N
IDCJAC0010,70351,2024,2,28,32.8,1,N
IDCJAC0010,70351,2024,11,26,32.8,1,N
IDCJAC0010,70351,2024,12,21,32.7,1,Y
IDCJAC0010,70351,2024,12,17,32.5,1,Y
IDCJAC0010,70351,2024,11,6,32.3,1,N
IDCJAC0010,70351,2024,1,13,32.2,1,Y
IDCJAC0010,70351,2024,12,14,32.2,1,Y
IDCJAC0010,70351,2024,2,18,31.6,1,N
IDCJAC0010,70351,2024,1,29,31.5,1,Y
IDCJAC0010,70351,2024,2,1,31.5,1,N
IDCJAC0010,70351,2024,11,3,31.4,1,N
IDCJAC0010,70351,2024,3,10,31.3,1,N
IDCJAC0010,70351,2024,11,22,31.3,1,N
IDCJAC0010,70351,2024,12,25,31.3,1,Y
IDCJAC0010,70351,2024,3,9,31.2,1,N
IDCJAC0010,70351,2024,2,2,31.1,1,N
IDCJAC0010,70351,2024,2,13,31.1,1,N
IDCJAC0010,70351,2024,2,22,31.1,1,N
IDCJAC0010,70351,2024,11,16,31.1,1,N
IDCJAC0010,70351,2024,1,10,31,1,Y
IDCJAC0010,70351,2024,2,17,31,1,N
IDCJAC0010,70351,2024,12,7,31,1,Y
IDCJAC0010,70351,2024,12,30,31,1,Y
IDCJAC0010,70351,2024,2,3,30.9,1,N
IDCJAC0010,70351,2024,12,2,30.8,1,Y
IDCJAC0010,70351,2024,12,31,30.7,1,Y
IDCJAC0010,70351,2024,2,12,30.5,1,N
IDCJAC0010,70351,2024,3,11,30.5,1,N
IDCJAC0010,70351,2024,12,4,30.5,1,Y
IDCJAC0010,70351,2024,12,5,30.5,1,Y
IDCJAC0010,70351,2024,3,6,30.4,1,N
IDCJAC0010,70351,2024,12,12,30.3,1,Y
IDCJAC0010,70351,2024,12,13,30.3,1,Y
IDCJAC0010,70351,2024,1,3,30.2,1,Y
IDCJAC0010,70351,2024,1,12,30.2,1,Y
IDCJAC0010,70351,2024,1,25,30.1,1,Y
IDCJAC0010,70351,2024,3,13,30.1,1,N
IDCJAC0010,70351,2024,3,30,30,1,N
IDCJAC0010,70351,2024,3,8,29.8,1,N
IDCJAC0010,70351,2024,11,28,29.8,1,N
IDCJAC0010,70351,2024,12,29,29.8,1,Y
IDCJAC0010,70351,2024,3,2,29.7,1,N
IDCJAC0010,70351,2024,12,20,29.7,1,Y
IDCJAC0010,70351,2024,2,26,29.6,1,N
IDCJAC0010,70351,2024,12,22,29.6,1,Y
IDCJAC0010,70351,2024,3,19,29.5,1,N
IDCJAC0010,70351,2024,2,25,29.3,1,N
IDCJAC0010,70351,2024,2,23,29.2,1,N
IDCJAC0010,70351,2024,3,3,29.2,1,N
IDCJAC0010,70351,2024,3,7,29.2,1,N
IDCJAC0010,70351,2024,1,11,29.1,1,Y
IDCJAC0010,70351,2024,4,1,29,1,Y
IDCJAC0010,70351,2024,2,9,28.8,1,N
IDCJAC0010,70351,2024,3,31,28.8,1,N
IDCJAC0010,70351,2024,1,30,28.6,1,Y
IDCJAC0010,70351,2024,12,27,28.6,1,Y
IDCJAC0010,70351,2024,3,26,28.5,1,N
IDCJAC0010,70351,2024,10,30,28.3,1,N
IDCJAC0010,70351,2024,11,27,28.2,1,N
