Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,14015,2024,10,1,36.9,1,N
IDCJAC0010,14015,2024,9,10,36.7,1,N
IDCJAC0010,14015,2024,9,13,36.5,1,N
IDCJAC0010,14015,2024,10,29,36.5,1,N
IDCJAC0010,14015,2024,9,14,36.4,1,N
IDCJAC0010,14015,2024,9,12,36.3,1,N
IDCJAC0010,14015,2024,10,4,36.3,1,N
IDCJAC0010,14015,2024,10,21,36.3,1,N
IDCJAC0010,14015,2024,11,15,36.3,1,N
IDCJAC0010,14015,2024,10,26,35.9,1,N
IDCJAC0010,14015,2024,12,4,35.9,1,N
IDCJAC0010,14015,2024,9,9,35.8,1,N
IDCJAC0010,14015,2024,10,13,35.8,1,N
IDCJAC0010,14015,2024,11,12,35.7,1,N
IDCJAC0010,14015,2024,1,2,35.6,1,N
IDCJAC0010,14015,2024,8,24,35.6,1,N
IDCJAC0010,14015,2024,9,8,35.6,1,N
IDCJAC0010,14015,2024,10,12,35.6,1,N
IDCJAC0010,14015,2024,10,22,35.6,1,N
IDCJAC0010,14015,2024,12,30,35.6,1,N
IDCJAC0010,14015,2024,10,25,35.5,1,N
IDCJAC0010,14015,2024,9,22,35.4,1,N
IDCJAC0010,14015,2024,10,28,35.4,1,N
IDCJAC0010,14015,2024,1,1,35.3,1,N
IDCJAC0010,14015,2024,1,4,35.3,1,N
IDCJAC0010,14015,2024,9,2,35.3,1,N
IDCJAC0010,14015,2024,9,30,35.3,1,N
IDCJAC0010,14015,2024,10,10,35.3,1,N
IDCJAC0010,14015,2024,10,24,35.3,1,N
IDCJAC0010,14015,2024,1,5,35.2,1,N
IDCJAC0010,14015,2024,4,26,35.2,1,N
IDCJAC0010,14015,2024,8,21,35.2,1,N
IDCJAC0010,14015,2024,8,23,35.2,1,N
IDCJAC0010,14015,2024,10,7,35.2,1,N
IDCJAC0010,14015,2024,10,27,35.2,1,N
IDCJAC0010,14015,2024,11,5,35.2,1,N
IDCJAC0010,14015,2024,11,13,35.2,1,N
IDCJAC0010,14015,2024,1,6,35.1,1,N
IDCJAC0010,14015,2024,4,16,35.1,1,N
IDCJAC0010,14015,2024,5,10,35.1,1,Y
IDCJAC0010,14015,2024,8,7,35.1,1,N
IDCJAC0010,14015,2024,9,7,35.1,1,N
IDCJAC0010,14015,2024,10,2,35.1,1,N
IDCJAC0010,14015,2024,12,16,35.1,1,N
IDCJAC0010,14015,2024,2,25,35,1,N
IDCJAC0010,14015,2024,9,11,35,1,N
IDCJAC0010,14015,2024,12,17,35,1,N
IDCJAC0010,14015,2024,12,22,35,1,N
IDCJAC0010,14015,2024,9,26,34.9,1,N
IDCJAC0010,14015,2024,10,9,34.9,1,N
IDCJAC0010,14015,2024,11,6,34.9,1,N
IDCJAC0010,14015,2024,12,11,34.9,1,N
IDCJAC0010,14015,2024,4,25,34.8,1,N
IDCJAC0010,14015,2024,9,16,34.8,1,N
IDCJAC0010,14015,2024,10,23,34.8,1,N
IDCJAC0010,14015,2024,11,11,34.8,1,N
IDCJAC0010,14015,2024,5,2,34.7,1,Y
IDCJAC0010,14015,2024,5,3,34.7,1,Y
IDCJAC0010,14015,2024,10,20,34.7,1,N
IDCJAC0010,14015,2024,11,8,34.7,1,N
IDCJAC0010,14015,2024,11,16,34.7,1,N
IDCJAC0010,14015,2024,12,21,34.7,1,N
IDCJAC0010,14015,2024,12,29,34.7,1,N
IDCJAC0010,14015,2024,3,28,34.6,1,N
IDCJAC0010,14015,2024,3,29,34.6,1,N
IDCJAC0010,14015,2024,4,17,34.6,1,N
IDCJAC0010,14015,2024,4,30,34.6,1,N
IDCJAC0010,14015,2024,5,4,34.6,1,Y
IDCJAC0010,14015,2024,5,5,34.6,1,Y
IDCJAC0010,14015,2024,5,16,34.6,1,Y
IDCJAC0010,14015,2024,8,20,34.6,1,N
IDCJAC0010,14015,2024,9,4,34.6,1,N
IDCJAC0010,14015,2024,11,3,34.6,1,N
IDCJAC0010,14015,2024,11,14,34.6,1,N
IDCJAC0010,14015,2024,12,13,34.6,1,N
IDCJAC0010,14015,2024,12,15,34.5,1,N
IDCJAC0010,14015,2024,4,15,34.4,1,N
IDCJAC0010,14015,2024,5,17,34.4,1,Y
IDCJAC0010,14015,2024,8,29,34.4,1,N
IDCJAC0010,14015,2024,9,25,34.4,1,N
IDCJAC0010,14015,2024,11,7,34.4,1,N
IDCJAC0010,14015,2024,12,28,34.4,1,N
IDCJAC0010,14015,2024,1,8,34.3,1,N
IDCJAC0010,14015,2024,2,23,34.3,1,N
IDCJAC0010,14015,2024,4,24,34.3,1,N
IDCJAC0010,14015,2024,4,29,34.3,1,N
IDCJAC0010,14015,2024,10,6,34.3,1,N
IDCJAC0010,14015,2024,11,9,34.3,1,N
IDCJAC0010,14015,2024,4,23,34.2,1,N
IDCJAC0010,14015,2024,5,9,34.2,1,Y
IDCJAC0010,14015,2024,5,11,34.2,1,Y
IDCJAC0010,14015,2024,5,28,34.2,1,Y
IDCJAC0010,14015,2024,8,8,34.2,1,N
IDCJAC0010,14015,2024,8,28,34.2,1,N
IDCJAC0010,14015,2024,9,29,34.2,1,N
IDCJAC0010,14015,2024,10,3,34.2,1,N
IDCJAC0010,14015,2024,10,30,34.2,1,N
IDCJAC0010,14015,2024,11,4,34.2,1,N
IDCJAC0010,14015,2024,12,24,34.2,1,N
IDCJAC0010,14015,2024,5,18,34.1,1,Y
IDCJAC0010,14015,2024,9,3,34.1,1,N
IDCJAC0010,14015,2024,9,6,34.1,1,N
IDCJAC0010,14015,2024,9,21,34.1,1,N
IDCJAC0010,14015,2024,9,23,34.1,1,N
IDCJAC0010,14015,2024,9,24,34.1,1,N
IDCJAC0010,14015,2024,10,5,34.1,1,N
IDCJAC0010,14015,2024,10,14,34.1,1,N
IDCJAC0010,14015,2024,10,18,34.1,1,N
IDCJAC0010,14015,2024,10,19,34.1,1,N
IDCJAC0010,14015,2024,11,20,34.1,1,N
IDCJAC0010,14015,2024,12,27,34.1,1,N
IDCJAC0010,14015,2024,2,29,34,1,N
IDCJAC0010,14015,2024,5,7,34,1,Y
IDCJAC0010,14015,2024,5,27,34,1,Y
IDCJAC0010,14015,2024,11,10,34,1,N
IDCJAC0010,14015,2024,12,1,34,1,N
IDCJAC0010,14015,2024,4,2,33.9,1,N
IDCJAC0010,14015,2024,4,9,33.9,1,N
IDCJAC0010,14015,2024,5,14,33.9,1,Y
IDCJAC0010,14015,2024,5,26,33.9,1,Y
IDCJAC0010,14015,2024,11,17,33.9,1,N
IDCJAC0010,14015,2024,12,9,33.9,1,N
IDCJAC0010,14015,2024,12,20,33.9,1,N
IDCJAC0010,14015,2024,2,8,33.8,1,N
IDCJAC0010,14015,2024,4,4,33.8,1,N
IDCJAC0010,14015,2024,4,8,33.8,1,N
IDCJAC0010,14015,2024,5,1,33.8,1,Y
IDCJAC0010,14015,2024,6,30,33.8,1,N
IDCJAC0010,14015,2024,7,10,33.8,1,N
IDCJAC0010,14015,2024,9,20,33.8,1,N
IDCJAC0010,14015,2024,11,2,33.8,1,N
IDCJAC0010,14015,2024,11,25,33.8,1,N
IDCJAC0010,14015,2024,12,5,33.8,1,N
IDCJAC0010,14015,2024,12,18,33.8,1,N
IDCJAC0010,14015,2024,3,10,33.7,1,N
IDCJAC0010,14015,2024,4,1,33.7,1,N
IDCJAC0010,14015,2024,4,6,33.7,1,N
IDCJAC0010,14015,2024,4,18,33.7,1,N
IDCJAC0010,14015,2024,4,28,33.7,1,N
IDCJAC0010,14015,2024,5,6,33.7,1,Y
IDCJAC0010,14015,2024,5,24,33.7,1,Y
IDCJAC0010,14015,2024,5,25,33.7,1,Y
IDCJAC0010,14015,2024,7,31,33.7,1,N
IDCJAC0010,14015,2024,8,6,33.7,1,N
IDCJAC0010,14015,2024,8,11,33.7,1,N
IDCJAC0010,14015,2024,9,19,33.7,1,N
IDCJAC0010,14015,2024,10,17,33.7,1,N
IDCJAC0010,14015,2024,2,15,33.6,1,N
IDCJAC0010,14015,2024,4,7,33.6,1,N
IDCJAC0010,14015,2024,4,19,33.6,1,N
IDCJAC0010,14015,2024,4,27,33.6,1,N
IDCJAC0010,14015,2024,5,13,33.6,1,Y
IDCJAC0010,14015,2024,5,15,33.6,1,Y
IDCJAC0010,14015,2024,7,7,33.6,1,N
IDCJAC0010,14015,2024,7,9,33.6,1,N
IDCJAC0010,14015,2024,4,20,33.5,1,N
IDCJAC0010,14015,2024,5,8,33.5,1,Y
IDCJAC0010,14015,2024,5,12,33.5,1,Y
IDCJAC0010,14015,2024,5,31,33.5,1,Y
IDCJAC0010,14015,2024,6,28,33.5,1,N
IDCJAC0010,14015,2024,8,12,33.5,1,N
IDCJAC0010,14015,2024,8,25,33.5,1,N
IDCJAC0010,14015,2024,10,11,33.5,1,N
IDCJAC0010,14015,2024,11,22,33.5,1,N
IDCJAC0010,14015,2024,11,27,33.5,1,N
IDCJAC0010,14015,2024,12,12,33.5,1,N
IDCJAC0010,14015,2024,12,26,33.5,1,N
IDCJAC0010,14015,2024,12,31,33.5,1,N
IDCJAC0010,14015,2024,2,5,33.4,1,N
IDCJAC0010,14015,2024,2,7,33.4,1,N
IDCJAC0010,14015,2024,6,1,33.4,1,N
IDCJAC0010,14015,2024,8,2,33.4,1,N
IDCJAC0010,14015,2024,8,26,33.4,1,N
IDCJAC0010,14015,2024,12,2,33.4,1,N
IDCJAC0010,14015,2024,1,3,33.3,1,N
IDCJAC0010,14015,2024,2,6,33.3,1,N
IDCJAC0010,14015,2024,3,26,33.3,1,N
IDCJAC0010,14015,2024,6,29,33.3,1,N
IDCJAC0010,14015,2024,8,27,33.3,1,N
IDCJAC0010,14015,2024,10,8,33.3,1,N
IDCJAC0010,14015,2024,11,29,33.3,1,N
IDCJAC0010,14015,2024,11,30,33.3,1,N
IDCJAC0010,14015,2024,2,16,33.2,1,N
IDCJAC0010,14015,2024,3,1,33.2,1,N
IDCJAC0010,14015,2024,3,2,33.2,1,N
IDCJAC0010,14015,2024,3,5,33.2,1,N
IDCJAC0010,14015,2024,4,14,33.2,1,N
IDCJAC0010,14015,2024,5,23,33.2,1,Y
IDCJAC0010,14015,2024,5,30,33.2,1,Y
IDCJAC0010,14015,2024,6,27,33.2,1,N
IDCJAC0010,14015,2024,8,10,33.2,1,N
IDCJAC0010,14015,2024,9,27,33.2,1,N
IDCJAC0010,14015,2024,2,21,33.1,1,N
IDCJAC0010,14015,2024,7,8,33.1,1,N
IDCJAC0010,14015,2024,7,11,33.1,1,N
IDCJAC0010,14015,2024,9,1,33.1,1,N
IDCJAC0010,14015,2024,10,15,33.1,1,N
IDCJAC0010,14015,2024,12,6,33.1,1,N
IDCJAC0010,14015,2024,12,8,33.1,1,N
IDCJAC0010,14015,2024,2,22,33,1,N
IDCJAC0010,14015,2024,3,24,33,1,N
IDCJAC0010,14015,2024,5,19,33,1,Y
IDCJAC0010,14015,2024,11,23,33,1,N
IDCJAC0010,14015,2024,2,20,32.9,1,N
IDCJAC0010,14015,2024,3,8,32.9,1,N
IDCJAC0010,14015,2024,3,31,32.9,1,N
IDCJAC0010,14015,2024,6,14,32.9,1,N
IDCJAC0010,14015,2024,6,17,32.9,1,N
IDCJAC0010,14015,2024,8,22,32.9,1,N
IDCJAC0010,14015,2024,9,5,32.9,1,N
IDCJAC0010,14015,2024,12,23,32.9,1,N
IDCJAC0010,14015,2024,2,4,32.8,1,N
IDCJAC0010,14015,2024,4,11,32.8,1,N
IDCJAC0010,14015,2024,4,13,32.8,1,N
IDCJAC0010,14015,2024,5,29,32.8,1,Y
IDCJAC0010,14015,2024,6,16,32.8,1,N
IDCJAC0010,14015,2024,8,19,32.8,1,N
IDCJAC0010,14015,2024,9,15,32.8,1,N
IDCJAC0010,14015,2024,11,18,32.8,1,N
IDCJAC0010,14015,2024,11,21,32.8,1,N
IDCJAC0010,14015,2024,6,13,32.7,1,N
IDCJAC0010,14015,2024,6,15,32.7,1,N
IDCJAC0010,14015,2024,7,1,32.7,1,N
IDCJAC0010,14015,2024,8,5,32.7,1,N
IDCJAC0010,14015,2024,2,2,32.6,1,N
IDCJAC0010,14015,2024,2,10,32.6,1,N
IDCJAC0010,14015,2024,2,19,32.6,1,N
IDCJAC0010,14015,2024,3,9,32.6,1,N
IDCJAC0010,14015,2024,7,2,32.6,1,N
IDCJAC0010,14015,2024,7,28,32.6,1,N
IDCJAC0010,14015,2024,12,10,32.6,1,N
IDCJAC0010,14015,2024,1,7,32.5,1,N
IDCJAC0010,14015,2024,2,28,32.5,1,N
IDCJAC0010,14015,2024,3,19,32.5,1,N
IDCJAC0010,14015,2024,4,3,32.5,1,N
IDCJAC0010,14015,2024,4,10,32.5,1,N
IDCJAC0010,14015,2024,8,1,32.5,1,N
IDCJAC0010,14015,2024,9,18,32.5,1,N
IDCJAC0010,14015,2024,9,28,32.5,1,N
IDCJAC0010,14015,2024,10,16,32.5,1,N
IDCJAC0010,14015,2024,1,23,32.4,1,N
IDCJAC0010,14015,2024,3,23,32.4,1,N
IDCJAC0010,14015,2024,3,25,32.4,1,N
IDCJAC0010,14015,2024,6,12,32.4,1,N
IDCJAC0010,14015,2024,6,20,32.4,1,N
IDCJAC0010,14015,2024,6,21,32.4,1,N
IDCJAC0010,14015,2024,7,29,32.4,1,N
IDCJAC0010,14015,2024,1,21,32.3,1,N
IDCJAC0010,14015,2024,2,9,32.3,1,N
IDCJAC0010,14015,2024,2,18,32.3,1,N
IDCJAC0010,14015,2024,3,17,32.3,1,N
IDCJAC0010,14015,2024,3,30,32.3,1,N
IDCJAC0010,14015,2024,4,21,32.3,1,N
IDCJAC0010,14015,2024,4,22,32.3,1,N
IDCJAC0010,14015,2024,7,30,32.3,1,N
IDCJAC0010,14015,2024,8,9,32.3,1,N
IDCJAC0010,14015,2024,8,13,32.3,1,N
IDCJAC0010,14015,2024,8,18,32.3,1,N
IDCJAC0010,14015,2024,2,1,32.2,1,N
IDCJAC0010,14015,2024,3,4,32.2,1,N
IDCJAC0010,14015,2024,3,20,32.2,1,N
IDCJAC0010,14015,2024,3,27,32.2,1,N
IDCJAC0010,14015,2024,7,25,32.2,1,N
IDCJAC0010,14015,2024,8,30,32.2,1,N
IDCJAC0010,14015,2024,1,22,32.1,1,N
IDCJAC0010,14015,2024,2,17,32.1,1,N
IDCJAC0010,14015,2024,3,3,32.1,1,N
IDCJAC0010,14015,2024,6,18,32.1,1,N
IDCJAC0010,14015,2024,11,19,32.1,1,N
IDCJAC0010,14015,2024,11,26,32.1,1,N
