Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,94029,2024,2,22,35.5,1,N
IDCJAC0010,94029,2024,3,9,33.8,1,N
IDCJAC0010,94029,2024,12,16,32.9,1,Y
IDCJAC0010,94029,2024,2,21,31.4,1,N
IDCJAC0010,94029,2024,1,16,31.2,1,N
IDCJAC0010,94029,2024,2,28,30.2,1,N
IDCJAC0010,94029,2024,2,3,30,1,N
IDCJAC0010,94029,2024,3,18,29.8,1,N
IDCJAC0010,94029,2024,11,6,29.7,1,N
IDCJAC0010,94029,2024,2,13,29.5,1,N
IDCJAC0010,94029,2024,3,19,29.4,1,N
IDCJAC0010,94029,2024,12,26,28.9,1,Y
IDCJAC0010,94029,2024,1,10,28.6,1,N
IDCJAC0010,94029,2024,1,29,28.5,1,N
IDCJAC0010,94029,2024,1,24,28.1,1,N
IDCJAC0010,94029,2024,12,2,27.8,1,Y
IDCJAC0010,94029,2024,2,18,27.5,1,N
IDCJAC0010,94029,2024,1,11,27.4,1,N
IDCJAC0010,94029,2024,3,6,27.4,1,N
IDCJAC0010,94029,2024,12,1,27.3,1,Y
IDCJAC0010,94029,2024,11,23,27,1,N
IDCJAC0010,94029,2024,1,28,26.6,1,N
IDCJAC0010,94029,2024,2,1,26.6,1,N
IDCJAC0010,94029,2024,1,25,26.5,1,N
IDCJAC0010,94029,2024,1,12,26.4,1,N
IDCJAC0010,94029,2024,3,17,26.4,1,N
IDCJAC0010,94029,2024,1,7,25.9,1,N
IDCJAC0010,94029,2024,2,15,25.9,1,N
IDCJAC0010,94029,2024,12,5,25.6,1,Y
IDCJAC0010,94029,2024,10,22,25.4,1,N
IDCJAC0010,94029,2024,2,27,25.3,1,N
IDCJAC0010,94029,2024,3,11,25.3,1,N
IDCJAC0010,94029,2024,2,29,25,1,N
IDCJAC0010,94029,2024,12,3,24.7,1,Y
IDCJAC0010,94029,2024,2,16,24.6,1,N
IDCJAC0010,94029,2024,2,17,24.6,1,N
IDCJAC0010,94029,2024,3,1,24.6,1,N
IDCJAC0010,94029,2024,11,17,24.6,1,N
IDCJAC0010,94029,2024,2,9,24.5,1,N
IDCJAC0010,94029,2024,11,16,24.5,1,N
IDCJAC0010,94029,2024,12,30,24.3,1,Y
IDCJAC0010,94029,2024,1,31,24.2,1,N
IDCJAC0010,94029,2024,2,5,24.2,1,N
IDCJAC0010,94029,2024,4,14,24.2,1,Y
IDCJAC0010,94029,2024,1,20,24.1,1,N
IDCJAC0010,94029,2024,2,11,24.1,1,N
IDCJAC0010,94029,2024,12,4,24.1,1,Y
IDCJAC0010,94029,2024,12,29,24.1,1,Y
IDCJAC0010,94029,2024,3,5,23.7,1,N
IDCJAC0010,94029,2024,1,19,23.6,1,N
IDCJAC0010,94029,2024,1,6,23.5,1,N
IDCJAC0010,94029,2024,2,8,23.5,1,N
IDCJAC0010,94029,2024,1,3,23.4,1,N
IDCJAC0010,94029,2024,2,20,23.4,1,N
IDCJAC0010,94029,2024,2,25,23.4,1,N
IDCJAC0010,94029,2024,1,27,23.3,1,N
IDCJAC0010,94029,2024,10,27,23.3,1,N
IDCJAC0010,94029,2024,11,12,23.2,1,N
IDCJAC0010,94029,2024,4,6,23.1,1,Y
IDCJAC0010,94029,2024,1,15,22.9,1,N
IDCJAC0010,94029,2024,2,12,22.9,1,N
IDCJAC0010,94029,2024,10,16,22.8,1,N
IDCJAC0010,94029,2024,4,13,22.7,1,Y
IDCJAC0010,94029,2024,12,24,22.7,1,Y
IDCJAC0010,94029,2024,1,26,22.6,1,N
IDCJAC0010,94029,2024,11,26,22.6,1,N
IDCJAC0010,94029,2024,10,29,22.5,1,N
IDCJAC0010,94029,2024,11,2,22.5,1,N
IDCJAC0010,94029,2024,2,6,22.1,1,N
IDCJAC0010,94029,2024,10,19,22.1,1,N
IDCJAC0010,94029,2024,3,21,22,1,N
IDCJAC0010,94029,2024,3,22,22,1,N
IDCJAC0010,94029,2024,12,20,22,1,Y
IDCJAC0010,94029,2024,1,13,21.9,1,N
IDCJAC0010,94029,2024,2,7,21.9,1,N
IDCJAC0010,94029,2024,12,14,21.9,1,Y
IDCJAC0010,94029,2024,12,11,21.8,1,Y
IDCJAC0010,94029,2024,1,2,21.7,1,N
IDCJAC0010,94029,2024,3,25,21.7,1,N
IDCJAC0010,94029,2024,10,3,21.7,1,N
IDCJAC0010,94029,2024,11,22,21.7,1,N
IDCJAC0010,94029,2024,3,23,21.6,1,N
IDCJAC0010,94029,2024,4,22,21.6,1,Y
IDCJAC0010,94029,2024,4,23,21.6,1,Y
IDCJAC0010,94029,2024,9,28,21.6,1,N
IDCJAC0010,94029,2024,2,23,21.5,1,N
IDCJAC0010,94029,2024,9,5,21.5,1,N
IDCJAC0010,94029,2024,12,31,21.5,1,Y
IDCJAC0010,94029,2024,10,13,21.3,1,N
IDCJAC0010,94029,2024,12,17,21.3,1,Y
IDCJAC0010,94029,2024,4,12,21.2,1,Y
IDCJAC0010,94029,2024,12,21,21.2,1,Y
IDCJAC0010,94029,2024,1,1,21.1,1,N
IDCJAC0010,94029,2024,1,9,21.1,1,N
IDCJAC0010,94029,2024,5,30,21.1,1,Y
IDCJAC0010,94029,2024,12,18,21.1,1,Y
IDCJAC0010,94029,2024,2,14,21,1,N
IDCJAC0010,94029,2024,2,24,21,1,N
IDCJAC0010,94029,2024,8,13,21,1,Y
IDCJAC0010,94029,2024,11,5,21,1,N
IDCJAC0010,94029,2024,1,14,20.9,1,N
IDCJAC0010,94029,2024,12,25,20.9,1,Y
IDCJAC0010,94029,2024,3,26,20.7,1,N
IDCJAC0010,94029,2024,2,2,20.6,1,N
IDCJAC0010,94029,2024,3,10,20.6,1,N
IDCJAC0010,94029,2024,3,29,20.6,1,N
IDCJAC0010,94029,2024,11,21,20.6,1,N
IDCJAC0010,94029,2024,11,30,20.6,1,N
IDCJAC0010,94029,2024,12,9,20.6,1,Y
IDCJAC0010,94029,2024,1,18,20.5,1,N
IDCJAC0010,94029,2024,1,5,20.4,1,N
IDCJAC0010,94029,2024,4,15,20.4,1,Y
IDCJAC0010,94029,2024,11,3,20.4,1,N
IDCJAC0010,94029,2024,12,15,20.4,1,Y
IDCJAC0010,94029,2024,4,1,20.3,1,Y
IDCJAC0010,94029,2024,4,20,20.3,1,Y
IDCJAC0010,94029,2024,4,21,20.3,1,Y
IDCJAC0010,94029,2024,10,21,20.3,1,N
IDCJAC0010,94029,2024,11,4,20.3,1,N
IDCJAC0010,94029,2024,11,13,20.3,1,N
IDCJAC0010,94029,2024,12,27,20.3,1,Y
IDCJAC0010,94029,2024,2,26,20.2,1,N
IDCJAC0010,94029,2024,12,6,20.2,1,Y
IDCJAC0010,94029,2024,3,2,20.1,1,N
IDCJAC0010,94029,2024,3,27,20.1,1,N
IDCJAC0010,94029,2024,3,31,20.1,1,N
IDCJAC0010,94029,2024,11,7,20.1,1,N
IDCJAC0010,94029,2024,12,7,20.1,1,Y
IDCJAC0010,94029,2024,1,17,20,1,N
IDCJAC0010,94029,2024,12,28,20,1,Y
IDCJAC0010,94029,2024,8,27,19.9,1,Y
IDCJAC0010,94029,2024,12,8,19.9,1,Y
IDCJAC0010,94029,2024,12,19,19.9,1,Y
IDCJAC0010,94029,2024,1,23,19.8,1,N
IDCJAC0010,94029,2024,3,24,19.8,1,N
IDCJAC0010,94029,2024,4,10,19.8,1,Y
IDCJAC0010,94029,2024,9,6,19.8,1,N
IDCJAC0010,94029,2024,11,27,19.8,1,N
IDCJAC0010,94029,2024,3,12,19.7,1,N
IDCJAC0010,94029,2024,8,25,19.7,1,Y
IDCJAC0010,94029,2024,10,20,19.7,1,N
IDCJAC0010,94029,2024,11,14,19.7,1,N
IDCJAC0010,94029,2024,4,5,19.6,1,Y
IDCJAC0010,94029,2024,5,29,19.6,1,Y
IDCJAC0010,94029,2024,4,8,19.5,1,Y
IDCJAC0010,94029,2024,4,17,19.5,1,Y
IDCJAC0010,94029,2024,4,26,19.5,1,Y
IDCJAC0010,94029,2024,10,23,19.5,1,N
IDCJAC0010,94029,2024,12,13,19.5,1,Y
IDCJAC0010,94029,2024,12,22,19.5,1,Y
IDCJAC0010,94029,2024,4,28,19.3,1,Y
IDCJAC0010,94029,2024,8,14,19.3,1,Y
IDCJAC0010,94029,2024,3,13,19.1,1,N
IDCJAC0010,94029,2024,7,24,19.1,1,Y
IDCJAC0010,94029,2024,9,30,19.1,1,N
IDCJAC0010,94029,2024,9,10,19,1,N
IDCJAC0010,94029,2024,11,11,19,1,N
IDCJAC0010,94029,2024,3,28,18.9,1,N
IDCJAC0010,94029,2024,8,11,18.9,1,Y
IDCJAC0010,94029,2024,10,5,18.9,1,N
IDCJAC0010,94029,2024,10,6,18.9,1,N
IDCJAC0010,94029,2024,11,25,18.9,1,N
IDCJAC0010,94029,2024,3,16,18.8,1,N
IDCJAC0010,94029,2024,4,18,18.7,1,Y
IDCJAC0010,94029,2024,4,27,18.7,1,Y
IDCJAC0010,94029,2024,9,29,18.7,1,N
IDCJAC0010,94029,2024,11,29,18.7,1,N
IDCJAC0010,94029,2024,12,23,18.7,1,Y
IDCJAC0010,94029,2024,11,9,18.6,1,N
IDCJAC0010,94029,2024,1,21,18.5,1,N
IDCJAC0010,94029,2024,2,10,18.5,1,N
IDCJAC0010,94029,2024,9,23,18.5,1,N
IDCJAC0010,94029,2024,10,4,18.5,1,N
IDCJAC0010,94029,2024,10,9,18.5,1,N
IDCJAC0010,94029,2024,2,19,18.3,1,Y
IDCJAC0010,94029,2024,5,15,18.3,1,Y
IDCJAC0010,94029,2024,10,17,18.2,1,Y
IDCJAC0010,94029,2024,1,4,18.1,1,N
IDCJAC0010,94029,2024,4,4,18.1,1,Y
IDCJAC0010,94029,2024,11,8,18.1,1,N
IDCJAC0010,94029,2024,8,10,18,1,Y
IDCJAC0010,94029,2024,1,8,17.9,1,N
IDCJAC0010,94029,2024,10,15,17.9,1,N
IDCJAC0010,94029,2024,11,15,17.9,1,N
IDCJAC0010,94029,2024,3,15,17.8,1,N
IDCJAC0010,94029,2024,3,30,17.7,1,N
