Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,86338,2024,12,16,39.4,1,Y
IDCJAC0010,86338,2024,3,9,37.6,1,Y
IDCJAC0010,86338,2024,2,4,37.5,1,Y
IDCJAC0010,86338,2024,11,22,37,1,N
IDCJAC0010,86338,2024,3,10,36.9,1,Y
IDCJAC0010,86338,2024,2,13,36.7,1,Y
IDCJAC0010,86338,2024,12,26,36.7,1,Y
IDCJAC0010,86338,2024,11,23,36.5,1,N
IDCJAC0010,86338,2024,2,28,36.3,1,Y
IDCJAC0010,86338,2024,2,22,35.9,1,Y
IDCJAC0010,86338,2024,2,12,35.8,1,Y
IDCJAC0010,86338,2024,3,11,35.1,1,Y
IDCJAC0010,86338,2024,12,20,34.6,1,Y
IDCJAC0010,86338,2024,2,21,33.9,1,Y
IDCJAC0010,86338,2024,11,16,33.6,1,N
IDCJAC0010,86338,2024,1,12,33.4,1,Y
IDCJAC0010,86338,2024,2,3,33.4,1,Y
IDCJAC0010,86338,2024,12,25,33.4,1,Y
IDCJAC0010,86338,2024,2,11,33.2,1,Y
IDCJAC0010,86338,2024,12,5,33.2,1,Y
IDCJAC0010,86338,2024,11,6,32.8,1,N
IDCJAC0010,86338,2024,1,6,32.6,1,Y
IDCJAC0010,86338,2024,3,5,32.1,1,Y
IDCJAC0010,86338,2024,1,16,31.9,1,Y
IDCJAC0010,86338,2024,3,18,31.9,1,Y
IDCJAC0010,86338,2024,12,2,31.8,1,Y
IDCJAC0010,86338,2024,1,23,31.7,1,Y
IDCJAC0010,86338,2024,12,15,31.6,1,Y
IDCJAC0010,86338,2024,12,3,31.1,1,Y
IDCJAC0010,86338,2024,12,19,31.1,1,Y
IDCJAC0010,86338,2024,11,27,31,1,N
IDCJAC0010,86338,2024,2,25,30.9,1,Y
IDCJAC0010,86338,2024,10,22,30.6,1,Y
IDCJAC0010,86338,2024,12,6,30.4,1,Y
IDCJAC0010,86338,2024,1,15,30.2,1,Y
IDCJAC0010,86338,2024,1,24,30.2,1,Y
IDCJAC0010,86338,2024,3,17,30.2,1,Y
IDCJAC0010,86338,2024,11,29,30.2,1,N
IDCJAC0010,86338,2024,3,16,29.6,1,Y
IDCJAC0010,86338,2024,2,20,29.2,1,Y
IDCJAC0010,86338,2024,1,5,28.9,1,Y
IDCJAC0010,86338,2024,1,20,28.7,1,Y
IDCJAC0010,86338,2024,3,19,28.6,1,Y
IDCJAC0010,86338,2024,4,1,28.2,1,Y
IDCJAC0010,86338,2024,3,1,28.1,1,Y
IDCJAC0010,86338,2024,3,29,28,1,Y
IDCJAC0010,86338,2024,3,15,27.8,1,Y
IDCJAC0010,86338,2024,10,21,27.8,1,Y
IDCJAC0010,86338,2024,1,10,27.4,1,Y
IDCJAC0010,86338,2024,2,27,27.4,1,Y
IDCJAC0010,86338,2024,1,7,27.2,1,Y
IDCJAC0010,86338,2024,1,29,27.2,1,Y
IDCJAC0010,86338,2024,1,3,26.9,1,Y
IDCJAC0010,86338,2024,10,15,26.9,1,Y
IDCJAC0010,86338,2024,12,30,26.9,1,Y
IDCJAC0010,86338,2024,2,10,26.7,1,Y
IDCJAC0010,86338,2024,12,7,26.6,1,Y
IDCJAC0010,86338,2024,11,26,26.5,1,N
IDCJAC0010,86338,2024,12,12,26.5,1,Y
IDCJAC0010,86338,2024,1,28,26.3,1,Y
IDCJAC0010,86338,2024,10,3,26.1,1,Y
IDCJAC0010,86338,2024,3,8,26,1,Y
IDCJAC0010,86338,2024,11,5,26,1,N
IDCJAC0010,86338,2024,11,2,25.8,1,N
IDCJAC0010,86338,2024,10,17,25.7,1,Y
IDCJAC0010,86338,2024,10,27,25.7,1,Y
IDCJAC0010,86338,2024,11,21,25.6,1,Y
IDCJAC0010,86338,2024,4,23,25.3,1,Y
IDCJAC0010,86338,2024,9,24,25.3,1,N
IDCJAC0010,86338,2024,12,29,25.3,1,Y
IDCJAC0010,86338,2024,10,16,25.2,1,Y
IDCJAC0010,86338,2024,3,6,25.1,1,Y
IDCJAC0010,86338,2024,11,12,25,1,N
