Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,9225,2024,12,23,43.4,1,Y
IDCJAC0010,9225,2024,2,18,42.9,1,Y
IDCJAC0010,9225,2024,2,1,42.6,1,Y
IDCJAC0010,9225,2024,2,10,42.3,1,Y
IDCJAC0010,9225,2024,2,19,42.3,1,Y
IDCJAC0010,9225,2024,2,9,42,1,Y
IDCJAC0010,9225,2024,1,31,41.9,1,N
IDCJAC0010,9225,2024,2,15,41.7,1,Y
IDCJAC0010,9225,2024,12,22,41.2,1,Y
IDCJAC0010,9225,2024,1,13,40.7,1,N
IDCJAC0010,9225,2024,2,2,40.4,1,Y
IDCJAC0010,9225,2024,12,11,40.4,1,Y
IDCJAC0010,9225,2024,2,8,39.9,1,Y
IDCJAC0010,9225,2024,1,16,38.3,1,N
IDCJAC0010,9225,2024,2,20,38.1,1,Y
IDCJAC0010,9225,2024,12,21,38,1,Y
IDCJAC0010,9225,2024,2,23,37.7,1,Y
IDCJAC0010,9225,2024,2,11,37.5,1,Y
IDCJAC0010,9225,2024,12,12,37.5,1,Y
IDCJAC0010,9225,2024,2,17,37.4,1,Y
IDCJAC0010,9225,2024,1,12,37,1,N
IDCJAC0010,9225,2024,11,24,36.7,1,N
IDCJAC0010,9225,2024,1,14,36.6,1,N
IDCJAC0010,9225,2024,1,8,36.5,1,N
IDCJAC0010,9225,2024,2,14,36.5,1,Y
IDCJAC0010,9225,2024,4,7,36.5,1,Y
IDCJAC0010,9225,2024,12,17,36.5,1,Y
IDCJAC0010,9225,2024,12,31,36.5,1,Y
IDCJAC0010,9225,2024,2,7,36.1,1,Y
IDCJAC0010,9225,2024,1,7,36,1,N
IDCJAC0010,9225,2024,1,30,36,1,N
IDCJAC0010,9225,2024,3,7,36,1,N
IDCJAC0010,9225,2024,12,10,35.3,1,Y
IDCJAC0010,9225,2024,12,20,35.2,1,Y
IDCJAC0010,9225,2024,12,29,35.1,1,Y
IDCJAC0010,9225,2024,12,9,35,1,Y
IDCJAC0010,9225,2024,12,7,34.9,1,Y
IDCJAC0010,9225,2024,3,3,34.6,1,N
IDCJAC0010,9225,2024,4,6,34.5,1,Y
IDCJAC0010,9225,2024,1,15,34.4,1,N
IDCJAC0010,9225,2024,2,13,34.4,1,Y
IDCJAC0010,9225,2024,11,18,34.4,1,N
IDCJAC0010,9225,2024,3,27,34.3,1,N
IDCJAC0010,9225,2024,2,12,34.1,1,Y
IDCJAC0010,9225,2024,10,29,34.1,1,Y
IDCJAC0010,9225,2024,1,20,34,1,N
IDCJAC0010,9225,2024,1,27,34,1,N
IDCJAC0010,9225,2024,3,1,33.8,1,N
IDCJAC0010,9225,2024,4,5,33.6,1,Y
IDCJAC0010,9225,2024,2,29,33.5,1,Y
IDCJAC0010,9225,2024,3,16,33.5,1,N
IDCJAC0010,9225,2024,1,6,33.4,1,N
IDCJAC0010,9225,2024,12,8,33.4,1,Y
IDCJAC0010,9225,2024,12,30,33.4,1,Y
IDCJAC0010,9225,2024,10,31,33.3,1,Y
IDCJAC0010,9225,2024,4,18,33.2,1,Y
IDCJAC0010,9225,2024,3,6,32.9,1,N
IDCJAC0010,9225,2024,4,17,32.6,1,Y
IDCJAC0010,9225,2024,2,3,32.5,1,Y
IDCJAC0010,9225,2024,2,6,32.3,1,Y
IDCJAC0010,9225,2024,2,26,32.3,1,Y
IDCJAC0010,9225,2024,3,5,32.3,1,N
IDCJAC0010,9225,2024,2,22,32.2,1,Y
IDCJAC0010,9225,2024,3,15,32.2,1,N
IDCJAC0010,9225,2024,11,28,32.1,1,N
IDCJAC0010,9225,2024,1,11,31.8,1,N
IDCJAC0010,9225,2024,10,28,31.8,1,Y
IDCJAC0010,9225,2024,11,13,31.8,1,N
IDCJAC0010,9225,2024,3,26,31.7,1,N
IDCJAC0010,9225,2024,12,28,31.7,1,Y
IDCJAC0010,9225,2024,1,3,31.6,1,N
IDCJAC0010,9225,2024,11,29,31.6,1,N
IDCJAC0010,9225,2024,3,13,31.5,1,N
IDCJAC0010,9225,2024,10,11,31.4,1,Y
IDCJAC0010,9225,2024,3,11,31.3,1,N
IDCJAC0010,9225,2024,1,17,31.2,1,N
IDCJAC0010,9225,2024,1,4,31.1,1,N
IDCJAC0010,9225,2024,4,21,31.1,1,Y
IDCJAC0010,9225,2024,3,2,31,1,N
IDCJAC0010,9225,2024,4,20,31,1,Y
IDCJAC0010,9225,2024,11,14,31,1,N
IDCJAC0010,9225,2024,1,5,30.9,1,N
IDCJAC0010,9225,2024,4,16,30.8,1,Y
IDCJAC0010,9225,2024,3,12,30.7,1,N
IDCJAC0010,9225,2024,1,9,30.6,1,N
IDCJAC0010,9225,2024,1,10,30.6,1,N
IDCJAC0010,9225,2024,4,4,30.6,1,Y
IDCJAC0010,9225,2024,12,13,30.4,1,Y
IDCJAC0010,9225,2024,1,21,30.3,1,N
IDCJAC0010,9225,2024,2,28,30.3,1,Y
IDCJAC0010,9225,2024,3,21,30,1,Y
IDCJAC0010,9225,2024,4,19,30,1,Y
IDCJAC0010,9225,2024,10,30,29.9,1,Y
IDCJAC0010,9225,2024,1,26,29.8,1,N
IDCJAC0010,9225,2024,3,31,29.8,1,N
IDCJAC0010,9225,2024,4,3,29.8,1,Y
IDCJAC0010,9225,2024,11,30,29.8,1,N
IDCJAC0010,9225,2024,10,1,29.7,1,Y
IDCJAC0010,9225,2024,10,24,29.6,1,Y
IDCJAC0010,9225,2024,4,2,29.5,1,Y
IDCJAC0010,9225,2024,11,1,29.5,1,N
IDCJAC0010,9225,2024,12,19,29.5,1,Y
IDCJAC0010,9225,2024,3,14,29.4,1,N
IDCJAC0010,9225,2024,5,14,29.4,1,Y
IDCJAC0010,9225,2024,11,23,29.4,1,N
IDCJAC0010,9225,2024,3,25,29.3,1,N
IDCJAC0010,9225,2024,4,8,29.2,1,Y
IDCJAC0010,9225,2024,3,20,29.1,1,N
IDCJAC0010,9225,2024,12,14,29,1,Y
IDCJAC0010,9225,2024,12,18,29,1,Y
IDCJAC0010,9225,2024,3,17,28.9,1,N
IDCJAC0010,9225,2024,3,28,28.8,1,N
IDCJAC0010,9225,2024,4,15,28.8,1,Y
IDCJAC0010,9225,2024,5,13,28.8,1,Y
IDCJAC0010,9225,2024,3,22,28.7,1,N
IDCJAC0010,9225,2024,3,24,28.7,1,N
IDCJAC0010,9225,2024,5,16,28.7,1,Y
IDCJAC0010,9225,2024,9,26,28.6,1,Y
IDCJAC0010,9225,2024,1,25,28.5,1,N
IDCJAC0010,9225,2024,3,30,28.5,1,N
IDCJAC0010,9225,2024,4,11,28.5,1,Y
IDCJAC0010,9225,2024,1,2,28.4,1,N
IDCJAC0010,9225,2024,9,13,28.4,1,Y
IDCJAC0010,9225,2024,12,24,28.4,1,Y
IDCJAC0010,9225,2024,9,17,28.3,1,Y
IDCJAC0010,9225,2024,1,24,28.2,1,N
IDCJAC0010,9225,2024,2,21,28.2,1,Y
IDCJAC0010,9225,2024,11,17,28.2,1,N
IDCJAC0010,9225,2024,11,27,28.2,1,N
IDCJAC0010,9225,2024,1,29,28.1,1,N
IDCJAC0010,9225,2024,2,5,28.1,1,Y
IDCJAC0010,9225,2024,4,10,28.1,1,Y
IDCJAC0010,9225,2024,5,15,28.1,1,Y
IDCJAC0010,9225,2024,12,6,28.1,1,Y
IDCJAC0010,9225,2024,1,22,28,1,N
IDCJAC0010,9225,2024,3,10,28,1,N
IDCJAC0010,9225,2024,5,17,28,1,Y
IDCJAC0010,9225,2024,10,10,28,1,Y
IDCJAC0010,9225,2024,1,1,27.9,1,N
IDCJAC0010,9225,2024,3,23,27.9,1,N
IDCJAC0010,9225,2024,11,19,27.8,1,N
IDCJAC0010,9225,2024,1,23,27.7,1,N
IDCJAC0010,9225,2024,3,18,27.7,1,N
IDCJAC0010,9225,2024,5,10,27.7,1,Y
IDCJAC0010,9225,2024,1,19,27.6,1,N
IDCJAC0010,9225,2024,3,8,27.6,1,N
IDCJAC0010,9225,2024,4,1,27.6,1,Y
IDCJAC0010,9225,2024,5,18,27.6,1,Y
IDCJAC0010,9225,2024,2,16,27.5,1,Y
IDCJAC0010,9225,2024,5,9,27.5,1,Y
IDCJAC0010,9225,2024,4,9,27.4,1,Y
IDCJAC0010,9225,2024,4,26,27.4,1,Y
IDCJAC0010,9225,2024,1,28,27.1,1,N
IDCJAC0010,9225,2024,5,12,27.1,1,Y
IDCJAC0010,9225,2024,3,4,27,1,N
IDCJAC0010,9225,2024,3,29,26.9,1,N
IDCJAC0010,9225,2024,9,12,26.9,1,Y
IDCJAC0010,9225,2024,1,18,26.8,1,N
IDCJAC0010,9225,2024,5,7,26.8,1,Y
IDCJAC0010,9225,2024,5,8,26.8,1,Y
IDCJAC0010,9225,2024,5,24,26.8,1,Y
IDCJAC0010,9225,2024,3,19,26.7,1,N
IDCJAC0010,9225,2024,4,13,26.7,1,Y
IDCJAC0010,9225,2024,5,19,26.7,1,Y
IDCJAC0010,9225,2024,5,21,26.7,1,Y
IDCJAC0010,9225,2024,4,14,26.6,1,Y
IDCJAC0010,9225,2024,5,23,26.6,1,Y
IDCJAC0010,9225,2024,2,27,26.5,1,Y
IDCJAC0010,9225,2024,4,12,26.4,1,Y
IDCJAC0010,9225,2024,8,10,26.2,1,N
IDCJAC0010,9225,2024,9,14,26.2,1,Y
IDCJAC0010,9225,2024,10,27,26.2,1,Y
IDCJAC0010,9225,2024,3,9,26.1,1,N
IDCJAC0010,9225,2024,5,2,25.9,1,Y
IDCJAC0010,9225,2024,9,2,25.9,1,Y
IDCJAC0010,9225,2024,4,29,25.8,1,Y
IDCJAC0010,9225,2024,5,11,25.8,1,Y
IDCJAC0010,9225,2024,5,22,25.8,1,Y
IDCJAC0010,9225,2024,6,1,25.8,1,N
IDCJAC0010,9225,2024,4,28,25.7,1,Y
IDCJAC0010,9225,2024,11,11,25.6,1,N
IDCJAC0010,9225,2024,11,20,25.6,1,N
IDCJAC0010,9225,2024,2,4,25.5,1,Y
IDCJAC0010,9225,2024,12,5,25.5,1,Y
IDCJAC0010,9225,2024,2,24,25.4,1,Y
IDCJAC0010,9225,2024,10,13,25.4,1,Y
IDCJAC0010,9225,2024,12,15,25.4,1,Y
IDCJAC0010,9225,2024,10,7,25.3,1,Y
IDCJAC0010,9225,2024,5,26,25.2,1,Y
IDCJAC0010,9225,2024,9,11,25.1,1,Y
IDCJAC0010,9225,2024,6,6,25,1,N
IDCJAC0010,9225,2024,12,27,25,1,Y
IDCJAC0010,9225,2024,5,1,24.9,1,Y
IDCJAC0010,9225,2024,5,20,24.9,1,Y
IDCJAC0010,9225,2024,12,4,24.8,1,Y
IDCJAC0010,9225,2024,12,16,24.8,1,Y
IDCJAC0010,9225,2024,9,22,24.6,1,Y
IDCJAC0010,9225,2024,11,15,24.5,1,N
IDCJAC0010,9225,2024,9,15,24.3,1,Y
IDCJAC0010,9225,2024,9,30,24.3,1,Y
IDCJAC0010,9225,2024,10,19,24.3,1,Y
IDCJAC0010,9225,2024,11,10,24.2,1,N
IDCJAC0010,9225,2024,2,25,24.1,1,Y
IDCJAC0010,9225,2024,9,18,24.1,1,Y
IDCJAC0010,9225,2024,11,12,24.1,1,N
IDCJAC0010,9225,2024,5,25,24,1,Y
IDCJAC0010,9225,2024,9,16,24,1,Y
IDCJAC0010,9225,2024,10,9,23.9,1,Y
IDCJAC0010,9225,2024,12,1,23.9,1,Y
IDCJAC0010,9225,2024,6,5,23.8,1,N
IDCJAC0010,9225,2024,4,27,23.6,1,Y
IDCJAC0010,9225,2024,4,24,23.5,1,Y
IDCJAC0010,9225,2024,7,17,23.5,1,N
IDCJAC0010,9225,2024,10,6,23.5,1,Y
IDCJAC0010,9225,2024,10,25,23.5,1,Y
IDCJAC0010,9225,2024,11,25,23.5,1,N
IDCJAC0010,9225,2024,11,8,23.4,1,N
IDCJAC0010,9225,2024,12,26,23.4,1,Y
IDCJAC0010,9225,2024,4,22,23.3,1,Y
IDCJAC0010,9225,2024,9,25,23.3,1,Y
IDCJAC0010,9225,2024,11,26,23.3,1,N
IDCJAC0010,9225,2024,11,9,23.2,1,N
IDCJAC0010,9225,2024,11,22,23.2,1,N
IDCJAC0010,9225,2024,12,3,23.2,1,Y
IDCJAC0010,9225,2024,7,31,23.1,1,N
IDCJAC0010,9225,2024,10,23,23.1,1,Y
IDCJAC0010,9225,2024,11,2,23,1,N
IDCJAC0010,9225,2024,11,21,23,1,N
