Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,23000,2024,7,3,0.6,1,Y
IDCJAC0011,23000,2024,9,17,1.3,1,Y
IDCJAC0011,23000,2024,7,30,2.3,1,Y
IDCJAC0011,23000,2024,7,2,2.6,1,Y
IDCJAC0011,23000,2024,7,29,2.7,1,Y
IDCJAC0011,23000,2024,9,16,2.8,1,Y
IDCJAC0011,23000,2024,6,17,3,1,N
IDCJAC0011,23000,2024,6,30,3.1,1,N
IDCJAC0011,23000,2024,6,22,3.2,1,N
IDCJAC0011,23000,2024,5,22,3.7,1,Y
IDCJAC0011,23000,2024,6,2,4,1,N
IDCJAC0011,23000,2024,7,28,4.1,1,Y
IDCJAC0011,23000,2024,5,19,4.3,1,Y
IDCJAC0011,23000,2024,6,1,4.3,1,N
IDCJAC0011,23000,2024,9,13,4.3,1,Y
IDCJAC0011,23000,2024,8,10,4.4,1,N
IDCJAC0011,23000,2024,5,23,4.7,1,Y
IDCJAC0011,23000,2024,9,12,4.7,1,Y
IDCJAC0011,23000,2024,7,1,4.8,1,Y
IDCJAC0011,23000,2024,7,31,4.8,1,Y
IDCJAC0011,23000,2024,6,16,5,1,N
IDCJAC0011,23000,2024,6,21,5.1,1,N
IDCJAC0011,23000,2024,8,3,5.3,1,N
IDCJAC0011,23000,2024,6,3,5.6,1,N
IDCJAC0011,23000,2024,7,18,5.7,1,Y
IDCJAC0011,23000,2024,8,6,5.7,1,N
IDCJAC0011,23000,2024,7,4,5.8,1,Y
IDCJAC0011,23000,2024,5,24,5.9,1,Y
IDCJAC0011,23000,2024,6,5,5.9,1,N
IDCJAC0011,23000,2024,7,15,5.9,1,Y
IDCJAC0011,23000,2024,8,7,5.9,1,N
IDCJAC0011,23000,2024,7,14,6,1,Y
IDCJAC0011,23000,2024,9,3,6,1,Y
IDCJAC0011,23000,2024,9,14,6,1,Y
IDCJAC0011,23000,2024,6,23,6.1,1,N
IDCJAC0011,23000,2024,4,22,6.3,1,N
IDCJAC0011,23000,2024,5,18,6.3,1,Y
IDCJAC0011,23000,2024,7,10,6.3,1,Y
IDCJAC0011,23000,2024,7,17,6.3,1,Y
IDCJAC0011,23000,2024,9,15,6.3,1,Y
IDCJAC0011,23000,2024,4,21,6.6,1,N
IDCJAC0011,23000,2024,9,27,6.6,1,Y
IDCJAC0011,23000,2024,10,11,6.7,1,Y
IDCJAC0011,23000,2024,6,18,6.8,1,N
IDCJAC0011,23000,2024,5,12,7,1,Y
IDCJAC0011,23000,2024,8,9,7,1,N
IDCJAC0011,23000,2024,8,11,7,1,N
IDCJAC0011,23000,2024,8,18,7,1,N
IDCJAC0011,23000,2024,9,26,7,1,Y
IDCJAC0011,23000,2024,10,8,7,1,Y
IDCJAC0011,23000,2024,5,26,7.1,1,Y
IDCJAC0011,23000,2024,5,27,7.2,1,Y
IDCJAC0011,23000,2024,4,25,7.3,1,N
IDCJAC0011,23000,2024,9,18,7.5,1,Y
IDCJAC0011,23000,2024,10,25,7.5,1,Y
IDCJAC0011,23000,2024,5,1,7.6,1,Y
IDCJAC0011,23000,2024,5,17,7.6,1,Y
IDCJAC0011,23000,2024,10,12,7.6,1,Y
IDCJAC0011,23000,2024,4,14,7.7,1,N
IDCJAC0011,23000,2024,5,4,7.7,1,Y
IDCJAC0011,23000,2024,5,14,7.7,1,Y
IDCJAC0011,23000,2024,5,13,7.8,1,Y
IDCJAC0011,23000,2024,7,16,7.9,1,Y
IDCJAC0011,23000,2024,7,12,8,1,Y
IDCJAC0011,23000,2024,10,19,8.1,1,Y
IDCJAC0011,23000,2024,4,24,8.2,1,N
IDCJAC0011,23000,2024,5,3,8.2,1,Y
IDCJAC0011,23000,2024,5,21,8.2,1,Y
IDCJAC0011,23000,2024,8,4,8.2,1,N
IDCJAC0011,23000,2024,8,5,8.2,1,N
IDCJAC0011,23000,2024,8,29,8.2,1,N
IDCJAC0011,23000,2024,9,19,8.2,1,Y
IDCJAC0011,23000,2024,4,20,8.3,1,N
IDCJAC0011,23000,2024,6,6,8.3,1,N
IDCJAC0011,23000,2024,6,25,8.3,1,N
IDCJAC0011,23000,2024,6,26,8.3,1,N
