Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,40913,2024,7,29,6.3,1,Y
IDCJAC0011,40913,2024,7,30,6.7,1,Y
IDCJAC0011,40913,2024,8,2,7.1,1,Y
IDCJAC0011,40913,2024,7,16,7.4,1,Y
IDCJAC0011,40913,2024,6,23,7.7,1,N
IDCJAC0011,40913,2024,7,31,7.9,1,Y
IDCJAC0011,40913,2024,6,20,8,1,N
IDCJAC0011,40913,2024,7,23,8,1,Y
IDCJAC0011,40913,2024,8,1,8,1,Y
IDCJAC0011,40913,2024,6,4,8.2,1,N
IDCJAC0011,40913,2024,7,19,8.3,1,Y
IDCJAC0011,40913,2024,7,22,8.4,1,Y
IDCJAC0011,40913,2024,6,5,8.5,1,N
IDCJAC0011,40913,2024,6,12,8.5,1,N
IDCJAC0011,40913,2024,6,14,8.5,1,N
IDCJAC0011,40913,2024,7,15,8.5,1,Y
IDCJAC0011,40913,2024,6,18,8.9,1,N
IDCJAC0011,40913,2024,6,8,9,1,Y
IDCJAC0011,40913,2024,8,4,9.1,1,Y
IDCJAC0011,40913,2024,6,9,9.2,1,N
IDCJAC0011,40913,2024,8,3,9.2,1,Y
IDCJAC0011,40913,2024,6,24,9.6,1,N
IDCJAC0011,40913,2024,6,11,9.7,1,N
IDCJAC0011,40913,2024,5,21,10,1,Y
IDCJAC0011,40913,2024,7,17,10,1,Y
IDCJAC0011,40913,2024,7,20,10,1,Y
IDCJAC0011,40913,2024,6,7,10.2,1,N
IDCJAC0011,40913,2024,8,18,10.2,1,Y
IDCJAC0011,40913,2024,6,17,10.3,1,N
IDCJAC0011,40913,2024,6,21,10.3,1,N
IDCJAC0011,40913,2024,6,19,10.4,1,N
IDCJAC0011,40913,2024,7,13,10.5,1,Y
IDCJAC0011,40913,2024,7,24,10.6,1,Y
IDCJAC0011,40913,2024,6,16,10.7,1,N
IDCJAC0011,40913,2024,5,20,10.9,1,Y
IDCJAC0011,40913,2024,7,18,10.9,1,Y
IDCJAC0011,40913,2024,7,26,10.9,1,Y
IDCJAC0011,40913,2024,6,13,11.1,1,N
IDCJAC0011,40913,2024,7,14,11.1,1,Y
IDCJAC0011,40913,2024,6,10,11.2,1,N
IDCJAC0011,40913,2024,8,10,11.2,1,Y
IDCJAC0011,40913,2024,5,13,11.3,1,Y
IDCJAC0011,40913,2024,7,5,11.3,1,Y
IDCJAC0011,40913,2024,8,7,11.3,1,Y
IDCJAC0011,40913,2024,8,8,11.3,1,Y
IDCJAC0011,40913,2024,8,19,11.4,1,Y
IDCJAC0011,40913,2024,5,23,11.5,1,Y
IDCJAC0011,40913,2024,7,21,11.5,1,Y
IDCJAC0011,40913,2024,6,15,11.6,1,N
IDCJAC0011,40913,2024,9,4,11.6,1,Y
IDCJAC0011,40913,2024,5,24,11.8,1,Y
IDCJAC0011,40913,2024,7,12,12,1,Y
IDCJAC0011,40913,2024,7,27,12,1,Y
IDCJAC0011,40913,2024,9,5,12,1,Y
IDCJAC0011,40913,2024,10,4,12,1,Y
IDCJAC0011,40913,2024,6,6,12.1,1,N
IDCJAC0011,40913,2024,7,8,12.1,1,Y
IDCJAC0011,40913,2024,6,3,12.2,1,N
IDCJAC0011,40913,2024,6,29,12.2,1,N
IDCJAC0011,40913,2024,8,17,12.2,1,Y
IDCJAC0011,40913,2024,9,6,12.3,1,Y
IDCJAC0011,40913,2024,9,17,12.3,1,Y
IDCJAC0011,40913,2024,9,7,12.4,1,Y
IDCJAC0011,40913,2024,6,26,12.5,1,N
IDCJAC0011,40913,2024,7,6,12.5,1,Y
IDCJAC0011,40913,2024,7,25,12.5,1,Y
IDCJAC0011,40913,2024,9,15,12.5,1,Y
IDCJAC0011,40913,2024,6,25,12.6,1,N
IDCJAC0011,40913,2024,7,11,12.6,1,Y
IDCJAC0011,40913,2024,8,5,12.7,1,Y
IDCJAC0011,40913,2024,9,16,12.7,1,Y
IDCJAC0011,40913,2024,5,19,12.8,1,Y
IDCJAC0011,40913,2024,6,22,12.9,1,N
IDCJAC0011,40913,2024,9,8,12.9,1,Y
IDCJAC0011,40913,2024,7,4,13,1,Y
IDCJAC0011,40913,2024,8,9,13,1,Y
IDCJAC0011,40913,2024,8,30,13,1,Y
IDCJAC0011,40913,2024,5,14,13.1,1,Y
IDCJAC0011,40913,2024,6,28,13.1,1,N
IDCJAC0011,40913,2024,8,24,13.2,1,Y
IDCJAC0011,40913,2024,10,5,13.2,1,Y
IDCJAC0011,40913,2024,7,7,13.3,1,Y
IDCJAC0011,40913,2024,9,14,13.3,1,Y
IDCJAC0011,40913,2024,5,27,13.5,1,Y
IDCJAC0011,40913,2024,7,2,13.5,1,Y
IDCJAC0011,40913,2024,7,3,13.5,1,Y
IDCJAC0011,40913,2024,9,20,13.6,1,Y
IDCJAC0011,40913,2024,6,30,13.7,1,N
IDCJAC0011,40913,2024,8,6,13.7,1,Y
IDCJAC0011,40913,2024,8,21,13.7,1,Y
IDCJAC0011,40913,2024,6,27,13.9,1,N
IDCJAC0011,40913,2024,9,18,13.9,1,Y
IDCJAC0011,40913,2024,7,28,14,1,Y
IDCJAC0011,40913,2024,8,20,14,1,Y
IDCJAC0011,40913,2024,5,22,14.1,1,Y
IDCJAC0011,40913,2024,6,2,14.1,1,N
IDCJAC0011,40913,2024,8,11,14.1,1,Y
IDCJAC0011,40913,2024,9,22,14.1,1,Y
IDCJAC0011,40913,2024,9,26,14.1,1,Y
IDCJAC0011,40913,2024,10,3,14.1,1,Y
IDCJAC0011,40913,2024,8,22,14.2,1,Y
IDCJAC0011,40913,2024,9,23,14.3,1,Y
IDCJAC0011,40913,2024,9,28,14.3,1,Y
IDCJAC0011,40913,2024,5,29,14.4,1,Y
IDCJAC0011,40913,2024,8,25,14.5,1,Y
IDCJAC0011,40913,2024,5,18,14.6,1,Y
IDCJAC0011,40913,2024,7,9,14.6,1,Y
IDCJAC0011,40913,2024,5,17,14.7,1,Y
IDCJAC0011,40913,2024,5,28,14.7,1,Y
IDCJAC0011,40913,2024,7,10,14.7,1,Y
IDCJAC0011,40913,2024,5,26,14.8,1,Y
IDCJAC0011,40913,2024,9,9,14.8,1,Y
IDCJAC0011,40913,2024,9,19,14.9,1,Y
IDCJAC0011,40913,2024,9,21,14.9,1,Y
IDCJAC0011,40913,2024,9,25,14.9,1,Y
IDCJAC0011,40913,2024,10,12,15,1,Y
IDCJAC0011,40913,2024,9,13,15.1,1,Y
IDCJAC0011,40913,2024,5,30,15.2,1,Y
IDCJAC0011,40913,2024,8,12,15.2,1,Y
IDCJAC0011,40913,2024,10,2,15.2,1,Y
IDCJAC0011,40913,2024,9,3,15.3,1,Y
IDCJAC0011,40913,2024,9,12,15.4,1,Y
IDCJAC0011,40913,2024,5,8,15.5,1,Y
IDCJAC0011,40913,2024,9,24,15.5,1,Y
IDCJAC0011,40913,2024,4,11,15.6,1,Y
IDCJAC0011,40913,2024,9,30,15.6,1,Y
IDCJAC0011,40913,2024,10,29,15.6,1,Y
IDCJAC0011,40913,2024,5,15,15.7,1,Y
IDCJAC0011,40913,2024,5,25,15.8,1,Y
IDCJAC0011,40913,2024,10,1,15.9,1,Y
IDCJAC0011,40913,2024,4,27,16,1,Y
IDCJAC0011,40913,2024,5,11,16,1,Y
IDCJAC0011,40913,2024,5,31,16,1,Y
IDCJAC0011,40913,2024,8,26,16,1,Y
IDCJAC0011,40913,2024,8,31,16,1,Y
IDCJAC0011,40913,2024,9,27,16,1,Y
IDCJAC0011,40913,2024,4,25,16.1,1,Y
IDCJAC0011,40913,2024,4,30,16.1,1,Y
IDCJAC0011,40913,2024,5,4,16.1,1,Y
IDCJAC0011,40913,2024,5,10,16.1,1,Y
IDCJAC0011,40913,2024,5,1,16.2,1,Y
IDCJAC0011,40913,2024,10,16,16.2,1,Y
IDCJAC0011,40913,2024,4,28,16.3,1,Y
IDCJAC0011,40913,2024,5,6,16.3,1,Y
IDCJAC0011,40913,2024,5,7,16.3,1,Y
IDCJAC0011,40913,2024,5,9,16.3,1,Y
IDCJAC0011,40913,2024,10,10,16.3,1,Y
IDCJAC0011,40913,2024,4,10,16.4,1,Y
IDCJAC0011,40913,2024,4,29,16.4,1,Y
IDCJAC0011,40913,2024,10,6,16.4,1,Y
IDCJAC0011,40913,2024,9,29,16.5,1,Y
IDCJAC0011,40913,2024,10,15,16.5,1,Y
IDCJAC0011,40913,2024,4,12,16.6,1,Y
IDCJAC0011,40913,2024,4,22,16.6,1,Y
IDCJAC0011,40913,2024,9,1,16.6,1,Y
IDCJAC0011,40913,2024,10,11,16.7,1,Y
