Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,70351,2024,9,16,-6.9,1,Y
IDCJAC0011,70351,2024,6,19,-6.2,1,N
IDCJAC0011,70351,2024,6,24,-5.6,1,N
IDCJAC0011,70351,2024,7,29,-5.6,1,Y
IDCJAC0011,70351,2024,8,3,-5.6,1,Y
IDCJAC0011,70351,2024,7,1,-5.4,1,Y
IDCJAC0011,70351,2024,8,7,-5.3,1,Y
IDCJAC0011,70351,2024,5,28,-4.9,1,N
IDCJAC0011,70351,2024,8,8,-4.8,1,Y
IDCJAC0011,70351,2024,6,20,-4.7,1,N
IDCJAC0011,70351,2024,8,2,-4.7,1,Y
IDCJAC0011,70351,2024,7,27,-4.6,1,Y
IDCJAC0011,70351,2024,8,4,-4.6,1,Y
IDCJAC0011,70351,2024,6,18,-4.2,1,N
IDCJAC0011,70351,2024,6,16,-4.1,1,N
IDCJAC0011,70351,2024,5,19,-3.9,1,N
IDCJAC0011,70351,2024,5,29,-3.9,1,N
IDCJAC0011,70351,2024,7,30,-3.9,1,Y
IDCJAC0011,70351,2024,6,17,-3.8,1,N
IDCJAC0011,70351,2024,5,20,-3.7,1,N
IDCJAC0011,70351,2024,8,1,-3.7,1,Y
IDCJAC0011,70351,2024,6,29,-3.6,1,Y
IDCJAC0011,70351,2024,6,13,-3.5,1,N
IDCJAC0011,70351,2024,7,31,-3.5,1,Y
IDCJAC0011,70351,2024,6,23,-3.4,1,N
IDCJAC0011,70351,2024,8,10,-3.4,1,Y
IDCJAC0011,70351,2024,5,27,-3.3,1,N
IDCJAC0011,70351,2024,6,25,-3.3,1,N
IDCJAC0011,70351,2024,7,24,-3.2,1,Y
IDCJAC0011,70351,2024,6,28,-3,1,N
IDCJAC0011,70351,2024,7,14,-3,1,Y
IDCJAC0011,70351,2024,7,2,-2.9,1,Y
IDCJAC0011,70351,2024,8,6,-2.9,1,Y
IDCJAC0011,70351,2024,5,23,-2.8,1,N
IDCJAC0011,70351,2024,6,11,-2.5,1,N
IDCJAC0011,70351,2024,9,4,-2.5,1,Y
IDCJAC0011,70351,2024,7,23,-2.4,1,Y
IDCJAC0011,70351,2024,9,17,-2.4,1,Y
IDCJAC0011,70351,2024,7,19,-2.2,1,Y
IDCJAC0011,70351,2024,5,21,-2.1,1,N
IDCJAC0011,70351,2024,9,14,-2,1,Y
IDCJAC0011,70351,2024,6,26,-1.8,1,N
IDCJAC0011,70351,2024,9,13,-1.8,1,Y
IDCJAC0011,70351,2024,6,10,-1.6,1,N
IDCJAC0011,70351,2024,5,26,-1.3,1,N
IDCJAC0011,70351,2024,10,26,-1.3,1,N
IDCJAC0011,70351,2024,7,17,-1.2,1,Y
