Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,14015,2024,6,8,14.7,1,N
IDCJAC0011,14015,2024,7,18,14.8,1,N
IDCJAC0011,14015,2024,7,19,15.2,1,N
IDCJAC0011,14015,2024,7,20,15.4,1,N
IDCJAC0011,14015,2024,6,9,15.5,1,N
IDCJAC0011,14015,2024,6,10,17.1,1,N
IDCJAC0011,14015,2024,7,21,17.3,1,N
IDCJAC0011,14015,2024,6,7,17.6,1,N
IDCJAC0011,14015,2024,7,5,17.6,1,N
IDCJAC0011,14015,2024,6,25,17.8,1,N
IDCJAC0011,14015,2024,7,22,17.9,1,N
IDCJAC0011,14015,2024,6,18,18,1,N
IDCJAC0011,14015,2024,6,12,18.2,1,N
IDCJAC0011,14015,2024,6,13,18.2,1,N
IDCJAC0011,14015,2024,6,23,18.2,1,N
IDCJAC0011,14015,2024,7,17,18.2,1,N
IDCJAC0011,14015,2024,7,23,18.3,1,N
IDCJAC0011,14015,2024,7,12,18.4,1,N
IDCJAC0011,14015,2024,8,13,18.5,1,N
IDCJAC0011,14015,2024,6,19,18.6,1,N
IDCJAC0011,14015,2024,7,15,18.6,1,N
IDCJAC0011,14015,2024,6,14,18.8,1,N
IDCJAC0011,14015,2024,7,13,18.8,1,N
IDCJAC0011,14015,2024,7,6,18.9,1,N
IDCJAC0011,14015,2024,7,14,19,1,N
IDCJAC0011,14015,2024,8,9,19,1,N
IDCJAC0011,14015,2024,5,21,19.1,1,Y
IDCJAC0011,14015,2024,7,16,19.1,1,N
IDCJAC0011,14015,2024,6,24,19.2,1,N
IDCJAC0011,14015,2024,7,24,19.2,1,N
IDCJAC0011,14015,2024,8,10,19.3,1,N
IDCJAC0011,14015,2024,7,4,19.4,1,N
IDCJAC0011,14015,2024,6,15,19.5,1,N
IDCJAC0011,14015,2024,8,12,19.5,1,N
IDCJAC0011,14015,2024,6,11,19.6,1,N
IDCJAC0011,14015,2024,6,20,19.6,1,N
IDCJAC0011,14015,2024,8,11,19.7,1,N
IDCJAC0011,14015,2024,7,11,19.9,1,N
IDCJAC0011,14015,2024,5,22,20,1,Y
IDCJAC0011,14015,2024,7,3,20,1,N
IDCJAC0011,14015,2024,8,3,20.1,1,N
IDCJAC0011,14015,2024,6,26,20.2,1,N
IDCJAC0011,14015,2024,8,14,20.2,1,N
