Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,94029,2024,7,5,0.9,1,Y
IDCJAC0011,94029,2024,7,7,1.1,1,Y
IDCJAC0011,94029,2024,7,2,1.5,1,Y
IDCJAC0011,94029,2024,7,29,1.5,1,Y
IDCJAC0011,94029,2024,7,8,1.7,1,Y
IDCJAC0011,94029,2024,7,3,2.1,1,Y
IDCJAC0011,94029,2024,7,30,2.1,1,Y
IDCJAC0011,94029,2024,7,1,2.3,1,Y
IDCJAC0011,94029,2024,6,8,2.6,1,Y
IDCJAC0011,94029,2024,7,6,2.7,1,Y
IDCJAC0011,94029,2024,7,19,2.7,1,Y
IDCJAC0011,94029,2024,7,31,3.1,1,Y
IDCJAC0011,94029,2024,10,9,3.1,1,N
IDCJAC0011,94029,2024,5,26,3.3,1,Y
IDCJAC0011,94029,2024,8,19,3.3,1,Y
IDCJAC0011,94029,2024,9,20,3.3,1,N
IDCJAC0011,94029,2024,7,21,3.4,1,Y
IDCJAC0011,94029,2024,10,26,3.4,1,N
IDCJAC0011,94029,2024,6,10,3.5,1,N
IDCJAC0011,94029,2024,7,4,3.5,1,Y
IDCJAC0011,94029,2024,7,28,3.5,1,Y
IDCJAC0011,94029,2024,8,2,3.5,1,Y
IDCJAC0011,94029,2024,9,12,3.5,1,N
IDCJAC0011,94029,2024,5,20,3.6,1,Y
IDCJAC0011,94029,2024,8,1,3.6,1,Y
IDCJAC0011,94029,2024,5,18,3.8,1,Y
IDCJAC0011,94029,2024,7,9,3.8,1,Y
IDCJAC0011,94029,2024,6,24,4,1,N
IDCJAC0011,94029,2024,6,25,4,1,N
IDCJAC0011,94029,2024,9,15,4,1,N
IDCJAC0011,94029,2024,5,25,4.1,1,Y
IDCJAC0011,94029,2024,6,13,4.1,1,N
IDCJAC0011,94029,2024,11,2,4.1,1,N
IDCJAC0011,94029,2024,5,21,4.2,1,Y
IDCJAC0011,94029,2024,7,13,4.2,1,Y
IDCJAC0011,94029,2024,8,20,4.3,1,Y
IDCJAC0011,94029,2024,9,26,4.5,1,N
IDCJAC0011,94029,2024,5,27,4.6,1,Y
IDCJAC0011,94029,2024,6,9,4.6,1,N
IDCJAC0011,94029,2024,6,22,4.6,1,N
IDCJAC0011,94029,2024,7,20,4.7,1,Y
IDCJAC0011,94029,2024,6,19,4.8,1,N
IDCJAC0011,94029,2024,5,1,5,1,Y
IDCJAC0011,94029,2024,9,27,5,1,N
IDCJAC0011,94029,2024,6,18,5.1,1,N
IDCJAC0011,94029,2024,10,8,5.1,1,N
IDCJAC0011,94029,2024,10,25,5.1,1,N
IDCJAC0011,94029,2024,9,14,5.2,1,N
IDCJAC0011,94029,2024,5,24,5.3,1,Y
IDCJAC0011,94029,2024,6,20,5.3,1,N
IDCJAC0011,94029,2024,9,24,5.3,1,N
IDCJAC0011,94029,2024,10,2,5.3,1,N
IDCJAC0011,94029,2024,5,19,5.4,1,Y
IDCJAC0011,94029,2024,8,29,5.4,1,Y
IDCJAC0011,94029,2024,8,31,5.4,1,Y
IDCJAC0011,94029,2024,5,5,5.5,1,Y
IDCJAC0011,94029,2024,9,28,5.5,1,N
IDCJAC0011,94029,2024,7,14,5.6,1,Y
IDCJAC0011,94029,2024,8,4,5.6,1,Y
IDCJAC0011,94029,2024,6,12,5.7,1,N
IDCJAC0011,94029,2024,10,15,5.7,1,N
IDCJAC0011,94029,2024,5,3,5.8,1,Y
IDCJAC0011,94029,2024,6,30,5.8,1,N
IDCJAC0011,94029,2024,6,2,5.9,1,N
IDCJAC0011,94029,2024,8,18,5.9,1,Y
IDCJAC0011,94029,2024,10,3,6,1,N
IDCJAC0011,94029,2024,8,3,6.1,1,Y
IDCJAC0011,94029,2024,9,3,6.1,1,N
IDCJAC0011,94029,2024,9,21,6.1,1,N
IDCJAC0011,94029,2024,10,13,6.1,1,N
IDCJAC0011,94029,2024,6,26,6.2,1,N
IDCJAC0011,94029,2024,6,11,6.3,1,N
IDCJAC0011,94029,2024,6,15,6.3,1,N
IDCJAC0011,94029,2024,10,28,6.3,1,N
IDCJAC0011,94029,2024,4,17,6.4,1,Y
IDCJAC0011,94029,2024,6,28,6.4,1,N
IDCJAC0011,94029,2024,7,17,6.5,1,Y
