Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,86338,2025,8,19,1.6,1,Y
IDCJAC0011,86338,2025,5,19,2,1,Y
IDCJAC0011,86338,2025,5,20,2.7,1,Y
IDCJAC0011,86338,2025,5,21,3.1,1,Y
IDCJAC0011,86338,2025,8,1,3.2,1,N
IDCJAC0011,86338,2025,8,3,3.3,1,N
IDCJAC0011,86338,2025,6,13,3.6,1,Y
IDCJAC0011,86338,2025,6,14,3.7,1,Y
IDCJAC0011,86338,2025,8,20,3.7,1,N
IDCJAC0011,86338,2025,9,6,3.7,1,Y
IDCJAC0011,86338,2025,9,5,4.2,1,Y
IDCJAC0011,86338,2025,7,4,4.3,1,N
IDCJAC0011,86338,2025,7,31,4.5,1,N
IDCJAC0011,86338,2025,8,10,4.5,1,N
IDCJAC0011,86338,2025,6,21,4.6,1,Y
IDCJAC0011,86338,2025,7,21,4.6,1,N
IDCJAC0011,86338,2025,8,11,4.6,1,N
IDCJAC0011,86338,2025,8,21,4.6,1,N
IDCJAC0011,86338,2025,6,5,4.7,1,Y
IDCJAC0011,86338,2025,8,17,4.7,1,N
IDCJAC0011,86338,2025,8,25,4.7,1,N
IDCJAC0011,86338,2025,6,22,4.8,1,Y
IDCJAC0011,86338,2025,7,18,4.8,1,N
IDCJAC0011,86338,2025,7,24,4.8,1,N
IDCJAC0011,86338,2025,8,2,4.8,1,N
IDCJAC0011,86338,2025,6,12,4.9,1,Y
IDCJAC0011,86338,2025,7,20,5.1,1,N
IDCJAC0011,86338,2025,8,14,5.1,1,N
IDCJAC0011,86338,2025,8,18,5.1,1,N
IDCJAC0011,86338,2025,6,18,5.2,1,Y
IDCJAC0011,86338,2025,5,22,5.3,1,Y
IDCJAC0011,86338,2025,6,11,5.4,1,Y
IDCJAC0011,86338,2025,8,9,5.4,1,N
IDCJAC0011,86338,2025,8,24,5.4,1,N
IDCJAC0011,86338,2025,7,30,5.6,1,N
IDCJAC0011,86338,2025,6,20,5.7,1,Y
IDCJAC0011,86338,2025,7,1,5.7,1,N
IDCJAC0011,86338,2025,7,7,5.7,1,N
IDCJAC0011,86338,2025,6,27,5.8,1,Y
IDCJAC0011,86338,2025,8,7,5.8,1,N
IDCJAC0011,86338,2025,5,18,5.9,1,Y
IDCJAC0011,86338,2025,6,1,6,1,Y
IDCJAC0011,86338,2025,7,5,6,1,N
IDCJAC0011,86338,2025,8,4,6,1,N
IDCJAC0011,86338,2025,8,13,6,1,N
