Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66214,2024,6,20,5.7,1,Y
IDCJAC0011,66214,2024,7,1,6.4,1,Y
IDCJAC0011,66214,2024,6,19,6.5,1,Y
IDCJAC0011,66214,2024,9,16,6.6,1,Y
IDCJAC0011,66214,2024,7,19,6.7,1,Y
IDCJAC0011,66214,2024,7,15,6.8,1,Y
IDCJAC0011,66214,2024,7,30,6.9,1,Y
IDCJAC0011,66214,2024,8,4,7,1,Y
IDCJAC0011,66214,2024,8,8,7,1,Y
IDCJAC0011,66214,2024,6,24,7.1,1,Y
IDCJAC0011,66214,2024,8,7,7.1,1,Y
IDCJAC0011,66214,2024,6,29,7.3,1,Y
IDCJAC0011,66214,2024,6,25,7.4,1,Y
IDCJAC0011,66214,2024,8,3,7.4,1,Y
IDCJAC0011,66214,2024,7,22,7.6,1,Y
IDCJAC0011,66214,2024,6,16,7.7,1,Y
IDCJAC0011,66214,2024,6,28,7.8,1,Y
IDCJAC0011,66214,2024,6,21,7.9,1,Y
IDCJAC0011,66214,2024,7,14,7.9,1,Y
IDCJAC0011,66214,2024,7,23,7.9,1,Y
IDCJAC0011,66214,2024,7,29,7.9,1,Y
IDCJAC0011,66214,2024,7,24,8,1,Y
IDCJAC0011,66214,2024,6,11,8.1,1,Y
IDCJAC0011,66214,2024,8,1,8.1,1,Y
IDCJAC0011,66214,2024,6,13,8.2,1,Y
IDCJAC0011,66214,2024,6,18,8.4,1,Y
IDCJAC0011,66214,2024,8,2,8.4,1,Y
IDCJAC0011,66214,2024,9,4,8.4,1,Y
IDCJAC0011,66214,2024,8,6,8.5,1,Y
IDCJAC0011,66214,2024,9,15,8.5,1,Y
IDCJAC0011,66214,2024,5,19,8.7,1,Y
IDCJAC0011,66214,2024,5,20,8.7,1,Y
IDCJAC0011,66214,2024,6,26,8.8,1,Y
IDCJAC0011,66214,2024,6,30,8.8,1,Y
IDCJAC0011,66214,2024,7,11,8.8,1,Y
IDCJAC0011,66214,2024,7,31,8.8,1,Y
IDCJAC0011,66214,2024,5,23,8.9,1,Y
IDCJAC0011,66214,2024,6,4,8.9,1,Y
IDCJAC0011,66214,2024,6,17,8.9,1,Y
IDCJAC0011,66214,2024,6,27,8.9,1,Y
IDCJAC0011,66214,2024,7,2,8.9,1,Y
IDCJAC0011,66214,2024,6,10,9,1,Y
IDCJAC0011,66214,2024,6,22,9,1,Y
IDCJAC0011,66214,2024,7,18,9,1,Y
IDCJAC0011,66214,2024,7,27,9,1,Y
IDCJAC0011,66214,2024,7,10,9.1,1,Y
IDCJAC0011,66214,2024,5,22,9.2,1,Y
IDCJAC0011,66214,2024,7,16,9.2,1,Y
IDCJAC0011,66214,2024,7,28,9.2,1,Y
IDCJAC0011,66214,2024,8,5,9.2,1,Y
IDCJAC0011,66214,2024,7,12,9.3,1,Y
IDCJAC0011,66214,2024,9,17,9.3,1,Y
IDCJAC0011,66214,2024,9,18,9.3,1,Y
IDCJAC0011,66214,2024,5,29,9.4,1,Y
IDCJAC0011,66214,2024,5,24,9.5,1,Y
IDCJAC0011,66214,2024,6,23,9.5,1,Y
IDCJAC0011,66214,2024,5,28,9.7,1,Y
IDCJAC0011,66214,2024,9,14,9.7,1,Y
IDCJAC0011,66214,2024,6,3,9.8,1,Y
IDCJAC0011,66214,2024,6,14,9.9,1,Y
IDCJAC0011,66214,2024,7,17,9.9,1,Y
IDCJAC0011,66214,2024,6,12,10.1,1,Y
IDCJAC0011,66214,2024,7,3,10.1,1,Y
IDCJAC0011,66214,2024,7,4,10.1,1,Y
IDCJAC0011,66214,2024,7,25,10.1,1,Y
IDCJAC0011,66214,2024,8,9,10.1,1,Y
IDCJAC0011,66214,2024,5,27,10.2,1,Y
IDCJAC0011,66214,2024,8,20,10.2,1,Y
IDCJAC0011,66214,2024,7,21,10.4,1,Y
IDCJAC0011,66214,2024,8,11,10.4,1,Y
IDCJAC0011,66214,2024,9,3,10.4,1,Y
IDCJAC0011,66214,2024,7,6,10.5,1,Y
IDCJAC0011,66214,2024,7,7,10.6,1,Y
IDCJAC0011,66214,2024,7,20,10.7,1,Y
IDCJAC0011,66214,2024,8,10,10.7,1,Y
IDCJAC0011,66214,2024,8,23,10.7,1,Y
IDCJAC0011,66214,2024,5,30,10.8,1,Y
IDCJAC0011,66214,2024,6,9,10.8,1,Y
IDCJAC0011,66214,2024,5,25,10.9,1,Y
IDCJAC0011,66214,2024,6,15,10.9,1,Y
IDCJAC0011,66214,2024,7,13,10.9,1,Y
IDCJAC0011,66214,2024,8,27,10.9,1,Y
IDCJAC0011,66214,2024,6,5,11,1,Y
IDCJAC0011,66214,2024,10,1,11,1,Y
IDCJAC0011,66214,2024,5,26,11.1,1,Y
IDCJAC0011,66214,2024,8,12,11.3,1,Y
IDCJAC0011,66214,2024,6,2,11.4,1,Y
IDCJAC0011,66214,2024,9,13,11.4,1,Y
IDCJAC0011,66214,2024,4,26,11.5,1,Y
IDCJAC0011,66214,2024,5,21,11.5,1,Y
IDCJAC0011,66214,2024,9,27,11.5,1,Y
IDCJAC0011,66214,2024,10,4,11.5,1,Y
IDCJAC0011,66214,2024,10,17,11.5,1,Y
IDCJAC0011,66214,2024,10,27,11.5,1,Y
IDCJAC0011,66214,2024,6,6,11.6,1,Y
IDCJAC0011,66214,2024,6,8,11.6,1,Y
IDCJAC0011,66214,2024,9,5,11.6,1,Y
IDCJAC0011,66214,2024,9,26,11.6,1,Y
IDCJAC0011,66214,2024,4,10,11.9,1,Y
IDCJAC0011,66214,2024,9,11,11.9,1,Y
IDCJAC0011,66214,2024,4,27,12,1,Y
IDCJAC0011,66214,2024,8,18,12,1,Y
IDCJAC0011,66214,2024,10,13,12,1,Y
IDCJAC0011,66214,2024,4,11,12.1,1,Y
IDCJAC0011,66214,2024,7,26,12.1,1,Y
IDCJAC0011,66214,2024,8,19,12.1,1,Y
IDCJAC0011,66214,2024,10,25,12.1,1,Y
IDCJAC0011,66214,2024,4,19,12.2,1,Y
IDCJAC0011,66214,2024,7,5,12.2,1,Y
IDCJAC0011,66214,2024,10,10,12.2,1,Y
IDCJAC0011,66214,2024,9,28,12.3,1,Y
IDCJAC0011,66214,2024,5,16,12.4,1,Y
IDCJAC0011,66214,2024,4,25,12.5,1,Y
IDCJAC0011,66214,2024,10,26,12.5,1,Y
IDCJAC0011,66214,2024,8,13,12.6,1,Y
IDCJAC0011,66214,2024,5,18,12.7,1,Y
IDCJAC0011,66214,2024,7,8,12.7,1,Y
IDCJAC0011,66214,2024,9,22,12.7,1,Y
IDCJAC0011,66214,2024,10,16,12.7,1,Y
IDCJAC0011,66214,2024,5,14,12.8,1,Y
