Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,23090,1977,2,17.4,Y
IDCJAC0001,23090,1977,3,34,Y
IDCJAC0001,23090,1977,4,26.2,Y
IDCJAC0001,23090,1977,5,42.6,Y
IDCJAC0001,23090,1977,6,58.6,Y
IDCJAC0001,23090,1977,7,23.2,Y
IDCJAC0001,23090,1977,8,26.8,Y
IDCJAC0001,23090,1977,9,48.4,Y
IDCJAC0001,23090,1977,10,47,Y
IDCJAC0001,23090,1977,11,37.2,Y
IDCJAC0001,23090,1977,12,15,Y
IDCJAC0001,23090,1978,1,2.6,Y
IDCJAC0001,23090,1978,2,6.8,Y
IDCJAC0001,23090,1978,3,9,Y
IDCJAC0001,23090,1978,4,46.6,Y
IDCJAC0001,23090,1978,5,52.6,Y
IDCJAC0001,23090,1978,6,108.4,Y
IDCJAC0001,23090,1978,7,112.4,Y
IDCJAC0001,23090,1978,8,69.2,Y
IDCJAC0001,23090,1978,9,84.4,Y
IDCJAC0001,23090,1978,10,26.8,Y
IDCJAC0001,23090,1978,11,46.2,Y
IDCJAC0001,23090,1978,12,23.2,Y
IDCJAC0001,23090,1979,1,40.4,Y
IDCJAC0001,23090,1979,2,12.4,Y
IDCJAC0001,23090,1979,3,6.4,Y
IDCJAC0001,23090,1979,4,71,Y
IDCJAC0001,23090,1979,5,64.4,Y
IDCJAC0001,23090,1979,6,32.2,Y
IDCJAC0001,23090,1979,7,74,Y
IDCJAC0001,23090,1979,8,102.4,Y
IDCJAC0001,23090,1979,9,123.2,Y
IDCJAC0001,23090,1979,10,66,Y
IDCJAC0001,23090,1979,11,33.6,Y
IDCJAC0001,23090,1979,12,35.6,Y
IDCJAC0001,23090,1980,1,4.8,Y
IDCJAC0001,23090,1980,2,0.2,Y
IDCJAC0001,23090,1980,3,0.8,Y
IDCJAC0001,23090,1980,4,68,Y
IDCJAC0001,23090,1980,5,44,Y
IDCJAC0001,23090,1980,6,98,Y
IDCJAC0001,23090,1980,7,81,Y
IDCJAC0001,23090,1980,8,21.2,Y
IDCJAC0001,23090,1980,9,24.2,Y
IDCJAC0001,23090,1980,10,105,Y
IDCJAC0001,23090,1980,11,45.2,Y
IDCJAC0001,23090,1980,12,34.6,Y
IDCJAC0001,23090,1981,1,22.4,Y
IDCJAC0001,23090,1981,2,4.4,Y
IDCJAC0001,23090,1981,3,63,Y
IDCJAC0001,23090,1981,4,0.8,Y
IDCJAC0001,23090,1981,5,59.8,Y
IDCJAC0001,23090,1981,6,174.6,Y
IDCJAC0001,23090,1981,7,110.2,Y
IDCJAC0001,23090,1981,8,112.2,Y
IDCJAC0001,23090,1981,9,45.2,Y
IDCJAC0001,23090,1981,10,25,Y
IDCJAC0001,23090,1981,11,30,Y
IDCJAC0001,23090,1981,12,24.4,Y
IDCJAC0001,23090,1982,1,21,Y
IDCJAC0001,23090,1982,2,8.4,Y
IDCJAC0001,23090,1982,3,42.6,Y
IDCJAC0001,23090,1982,4,66.6,Y
IDCJAC0001,23090,1982,5,51,Y
IDCJAC0001,23090,1982,6,54.8,Y
IDCJAC0001,23090,1982,7,31.6,Y
IDCJAC0001,23090,1982,8,26,Y
IDCJAC0001,23090,1982,9,28,Y
IDCJAC0001,23090,1982,10,15.4,Y
IDCJAC0001,23090,1982,11,1.2,Y
IDCJAC0001,23090,1982,12,10,Y
IDCJAC0001,23090,1983,1,13,Y
IDCJAC0001,23090,1983,2,1.2,Y
IDCJAC0001,23090,1983,3,106,Y
IDCJAC0001,23090,1983,4,105.2,Y
IDCJAC0001,23090,1983,5,70.6,Y
IDCJAC0001,23090,1983,6,47.8,Y
IDCJAC0001,23090,1983,7,111.2,Y
