Row Labels,Sum of Monthly Precipitation Total (millimetres)
1855,541.9
1856,756.1
1857,734.6
1858,662.5
1859,556.3
1860,646.2
1861,741.8
1862,562
1863,926.4
1864,697.5
1865,405.2
1866,570.4
1867,656.3
1868,464.9
1869,626.4
1870,859
1871,767.7
1872,826.9
1873,652.1
1874,721.7
1875,835.6
1876,612.8
1877,613.4
1878,645
1879,488.5
1880,724.5
1881,613.6
1882,569.3
1883,603.7
1884,657.7
1885,685.3
1886,610.9
1887,824.4
1888,468.5
1889,717.1
1890,617.1
1891,679.7
1892,635.7
1893,683
1894,575.9
1895,434.8
1896,641.3
1897,657.8
1898,397.1
1899,733.7
1900,714.8
1901,698.3
1902,588.6
1903,723.4
1904,755.6
1905,653.2
1906,567.1
1907,566.7
1908,451.6
1909,658.3
1910,626.8
1911,930.7
1912,518.5
1913,539.7
1914,473.1
1915,533.2
1916,967.5
1917,777.7
1918,690.9
1919,633.8
1920,720.1
1921,757.3
1922,637
1923,575.9
1924,927.8
1925,447.7
1926,521.8
1927,458.3
1928,613.7
1929,733.3
1930,647.3
1931,728.5
1932,791.3
1933,566.9
1934,853.3
1935,762.6
1936,619
1937,546.2
1938,448.7
1939,842.3
1940,505
1941,808.6
1942,757.9
1943,478.2
1944,543.2
1945,489.7
1946,757.9
1947,775.3
1948,534
1949,798.5
1950,666.8
1951,759.5
1952,874.9
1953,721.9
1954,853
1955,780.6
1956,787
1957,530.3
1958,686.5
1959,657.3
1960,851.9
1961,562.1
1962,586.9
1963,739
1964,707.3
1965,591.3
1966,682.2
1967,332.3
1968,533.3
1969,625.7
1970,804.4
1971,780.4
1972,566.8
1973,818.3
1974,803.5
1975,709.8
1976,503.9
1977,605
1978,867
1979,543.2
1980,644.2
1981,602.2
1982,422.2
1983,612
1984,564.8
1985,678.2
1986,527.6
1987,655
1988,678.6
1989,792.8
1990,625.2
1991,720.6
1992,829.8
1993,844
1994,471.8
1995,803
1996,777
1997,359.8
1998,585
1999,610.4
2000,629.6
2001,605.2
2002,396.6
2003,493
2004,622.2
2005,590
2006,438.4
2007,448.4
2008,449.4
2009,464.8
2010,780.6
2011,832.4
2012,601.2
2013,641
2014,472.8
2015,5.6
Grand Total,103626.6
Average,643.6434783
