Row Labels,Sum of Monthly Precipitation Total (millimetres)
1944,616.1
1945,1096.2
1946,757.2
1947,994.4
1948,790.7
1949,618.7
1950,779.2
1951,791.2
1952,908.5
1953,874
1954,707.3
1955,1164.7
1956,839.4
1957,819
1958,825.6
1959,600.9
1960,731.5
1961,830.1
1962,770.7
1963,1040.6
1964,1032.5
1965,963.1
1966,681.2
1967,942.2
1968,930.2
1969,523.8
1970,847.5
1971,776
1972,576.8
1973,914.6
1974,875.8
1975,692.4
1976,722
1977,615.1
1978,822.9
1979,569
1980,700.1
1981,791.4
1982,664.8
1983,720.6
1984,748.2
1985,620.2
1986,901
1987,743.4
1988,914.4
1989,674
1990,704.8
1991,903.8
1992,960
1993,666
1994,609
1995,793.2
1996,889.2
1997,653
1998,684.2
1999,793
2000,707
2001,623
2002,648.2
2003,810.2
2004,609.2
2005,820
2006,479.6
2007,692.6
2008,828.2
2009,615.8
2010,483.4
2011,835.8
2012,649.4
2013,704
2014,620.8
2015,578.2
2016,674.4
2017,729.4
2018,743.8
2019,532
2020,636.2
2021,799
2022,668.6
2023,554
2024,619.4
2025,716.6
Grand Total,61554.2
Average,750.6609756
