year,temp_c
1977,21.27272727
1978,21.18333333
1979,21.99166667
1980,22.525
1981,22.25833333
1982,22.76666667
1983,22.18333333
1984,21.60833333
1985,21.95
1986,21.54166667
1987,22.06666667
1988,22.95833333
1989,22.15833333
1990,22.60833333
1991,22.41666667
1992,20.975
1993,22.38333333
1994,21.85
1995,21.575
1996,21.44166667
1997,22.03333333
1998,22.2
1999,22.20833333
2000,22.625
2001,22.10833333
2002,22.45
2003,22.51666667
2004,22.55
2005,22.84166667
2006,23.05
2007,23.68333333
2008,22.76666667
2009,23.5
2010,22.49166667
2011,22.74166667
2012,22.76666667
2013,23.5
2014,23.55833333
2015,23.24166667
2016,22.875
2017,23.34166667
2018,23.625
2019,23.63333333
2020,21.94285714
