year,temp_c
1941,30.81818182
1942,32.625
1943,31.05
1944,31.25833333
1945,31.775
1946,31.16666667
1947,31.875
1948,31.725
1949,31.16666667
1950,31.325
1951,31.925
1952,32.15833333
1953,31.53333333
1954,31.625
1955,31.9
1956,31.40833333
1957,31.54166667
1958,32.60833333
1959,31.88333333
1960,31.50833333
1961,31.8
1962,32.13333333
1963,31.41666667
1964,32.00833333
1965,31.75
1966,32.08333333
1967,31.85
1968,31.7
1969,32.44166667
1970,32.63333333
1971,31.71666667
1972,32.25
1973,32.59166667
1974,31.38333333
1975,32.35
1976,32.175
1977,31.525
1978,32.25
1979,32.55833333
1980,32.21666667
1981,31.975
1982,31.725
1983,31.98333333
1984,31.60833333
1985,32.05833333
1986,32.08333333
1987,32.05833333
1988,32.4
1989,32.03333333
1990,32.2
1991,31.84166667
1992,32.31666667
1993,32.26666667
1994,32.10833333
1995,31.83333333
1996,32.40833333
1997,31.975
1998,32.86666667
1999,31.81666667
2000,31.59166667
2001,32.13333333
2002,32.675
2003,32.58333333
2004,32.14166667
2005,32.8
2006,31.8
2007,32.24166667
2008,32.525
2009,32.675
2010,32.60833333
2011,31.625
2012,32.34166667
2013,32.68333333
2014,32.64166667
2015,32.625
2016,33.23333333
2017,32.78333333
2018,32.825
2019,32.975
2020,33.10833333
2021,32.95833333
2022,32.875
2023,32.90833333
2024,33.01666667
2025,32.42222222
