year,temp_c
1882,14.84444444
1883,17.04166667
1884,16.55
1885,16.35833333
1886,16.45
1887,17.06666667
1888,16.79166667
1889,16.95833333
1890,17.01666667
1891,16.94166667
1892,17.375
1893,16.98333333
1894,17.075
1895,17.24166667
1896,16.64166667
1897,16.65833333
1898,16.73333333
1899,16.93333333
1900,17.21666667
1901,16.85
1902,16.30833333
1903,16.80833333
1904,17.45
1905,16.58333333
1906,17.15
1907,16.65833333
1908,16.85
1909,16.075
1910,17.20833333
1911,16.31666667
1912,16.66666667
1913,16.48333333
1914,17.04166667
1915,16.5
1916,16.13333333
1917,16.38333333
1918,16.65833333
1919,17.38333333
1920,17.125
1921,17.40833333
1922,16.99166667
1923,16.49166667
1924,16.14166667
1925,16.28333333
1926,17.11666667
1927,16.49166667
1928,17.125
1929,16.29166667
1930,17.16666667
1931,16.24166667
1932,16.68333333
1933,16.29166667
1934,16.98333333
1935,16.28333333
1936,16.61666667
1937,16.50833333
1938,16.99166667
1939,16.75833333
1940,17.30833333
1941,16.71666667
1942,16.94166667
1943,16.40833333
1944,16.475
1945,16.70833333
1946,15.74166667
1947,17.2
1948,16.35833333
1949,16.15833333
1950,17.1
1951,16.8
1952,16.25833333
1953,16.34166667
1954,16.75
1955,16.55833333
1956,16.16666667
1957,16.80833333
1958,16.25833333
1959,17.14166667
1960,16.88333333
1961,17.45
1962,16.95833333
1963,16.63333333
1964,15.96666667
1965,16.6
1966,16.58333333
1967,17.04166667
1968,16.86666667
1969,16.65833333
1970,16.475
1971,17
1972,17.65833333
1973,17.275
1974,17.09166667
1975,17.14166667
1976,16.45833333
1977,17.125
1978,16.925
1979,17.49166667
1980,17.575
1981,17.51666667
1982,17.49166667
1983,16.925
1984,16.89166667
1985,16.76666667
1986,16.70833333
1987,17.44166667
1988,17.95
1989,17.575
1990,17.575
1991,17.18333333
1992,16.375
1993,17.89166667
1994,17.38333333
1995,16.425
1996,16.44166667
1997,17.09166667
1998,17.09166667
1999,17.60833333
2000,17.85
2001,17.36666667
2002,17.60833333
2003,17.375
2004,16.825
2005,17.58333333
2006,16.98333333
2007,17.80833333
2008,17.875
2009,17.6
2010,18.20833333
2011,17.54166667
2012,18.11666667
2013,18.13333333
2014,18.29166667
2015,17.65833333
2016,18.24166667
2017,18.46666667
2018,18.21666667
2019,18.66666667
2020,17.71666667
2021,17.74166667
2022,17.55
2023,18.43333333
2024,18.38333333
2025,18.05555556
