year,temp_c
1855,17.375
1856,19.04166667
1857,19.85
1858,20.23333333
1859,19.39166667
1860,19.6
1861,19.43333333
1862,19.85833333
1863,19.375
1864,19.2
1865,19.61666667
1866,20.3
1867,20
1868,20.19166667
1869,19.975
1870,19.95
1871,20.30833333
1872,20.13333333
1873,20.25833333
1874,19.48333333
1875,19.43333333
1876,19.84166667
1877,19.66666667
1878,19.63333333
1879,19.175
1880,19.43333333
1881,19.525
1882,19.88333333
1883,20.04166667
1884,19.31666667
1885,19.00833333
1886,19.15
1887,19.08333333
1888,19.30833333
1889,19.55
1890,19.85
1891,19.15833333
1892,18.89166667
1893,19.29166667
1894,19.71666667
1895,20.11666667
1896,19.40833333
1897,19.44166667
1898,20.55
1899,19.75
1900,19.1
1901,19.46666667
1902,19.40833333
1903,19.35833333
1904,19.175
1905,18.96666667
1906,19.675
1907,19.45833333
1908,19.95
1909,18.98333333
1910,19.94166667
1911,19.19166667
1912,19.56666667
1913,19.31666667
1914,20.48333333
1915,19.48333333
1916,19.10833333
1917,19.05833333
1918,19.61666667
1919,20.3
1920,19.35
1921,20.13333333
1922,19.78333333
1923,19.49166667
1924,18.58333333
1925,19.31666667
1926,20.18333333
1927,19.91666667
1928,20.21666667
1929,19.20833333
1930,20.35833333
1931,19.1
1932,19.3
1933,19.83333333
1934,20.075
1935,19.5
1936,19.95
1937,20.05833333
1938,20.74166667
1939,19.925
1940,20.625
1941,19.63333333
1942,20.05
1943,19.175
1944,19.84166667
1945,19.41666667
1946,19.025
1947,20.14166667
1948,19.475
1949,18.56666667
1950,19.875
1951,20.13333333
1952,19.25833333
1953,19.975
1954,19.93333333
1955,19.81666667
1956,19.40833333
1957,20.05833333
1958,19.21666667
1959,20.46666667
1960,19.79166667
1961,21.35833333
1962,20.325
1963,19.99166667
1964,19.225
1965,19.94166667
1966,19.46666667
1967,20.025
1968,20.09166667
1969,19.64166667
1970,19.425
1971,19.95833333
1972,20.26666667
1973,19.775
1974,19.74166667
1975,19.8
1976,19.64166667
1977,19.50833333
1978,19.25
1979,20.3
1980,20.43333333
1981,20.55833333
1982,20.56666667
1983,19.6
1984,19.56666667
1985,19.875
1986,19.28333333
1987,19.69166667
1988,20.76666667
1989,20.10833333
1990,20.43333333
1991,20.15
1992,19.50833333
1993,20.44166667
1994,20.20833333
1995,19.43333333
1996,19.575
1997,20.75
1998,20.625
1999,20.98333333
2000,21.03333333
2001,20.60833333
2002,20.925
2003,20.75
2004,20.375
2005,21.41666667
2006,20.85
2007,21.8
2008,20.89166667
2009,21.59166667
2010,21.00833333
2011,20.86666667
2012,20.825
2013,21.49166667
2014,21.69166667
2015,30.6
