year,temp_c
1944,22.2
1945,24.425
1946,23.625
1947,23.7
1948,24.3
1949,24.79166667
1950,24.28333333
1951,23.28333333
1952,23.6
1953,23.425
1954,23.80833333
1955,23.425
1956,23.725
1957,24.3
1958,24.58333333
1959,24.71666667
1960,23.50833333
1961,25.00833333
1962,24.96666667
1963,24.225
1964,23.26666667
1965,23.81666667
1966,23.425
1967,24.24166667
1968,22.44166667
1969,24.43333333
1970,24
1971,23.05833333
1972,25.575
1973,23.83333333
1974,24.24166667
1975,24.35833333
1976,24.95833333
1977,25.1
1978,25.16666667
1979,24.25
1980,24.09166667
1981,24.01666667
1982,24.49166667
1983,25.125
1984,24.09166667
1985,24.84166667
1986,23.49166667
1987,24.68333333
1988,24.875
1989,24.33333333
1990,23.48333333
1991,24.46666667
1992,23.75
1993,23.94166667
1994,25.325
1995,24.575
1996,24.98333333
1997,24.925
1998,25.25
1999,25.64166667
2000,25.21666667
2001,24.84166667
2002,25.23333333
2003,25.26666667
2004,25.2
2005,24.175
2006,25.40833333
2007,24.95833333
2008,24.8
2009,25.54166667
2010,26.01666667
2011,26.06666667
2012,25.66666667
2013,25.78333333
2014,25.68333333
2015,25.99166667
2016,24.4
2017,25.33333333
2018,25.08333333
2019,26.13333333
2020,25.70833333
2021,25.31666667
2022,25.48333333
2023,26.2
2024,27.10833333
2025,25.87777778
