year,temp_c
1859,21.43333333
1860,20.29166667
1861,20.89166667
1862,21.38333333
1863,21
1864,20.60833333
1865,21.69166667
1866,21.25
1867,21.80833333
1868,21.45
1869,21.05
1870,20.7
1871,20.825
1872,20.68333333
1873,20.93333333
1874,21.08333333
1875,21.425
1876,21.29166667
1877,21.40833333
1878,21.425
1879,20.14166667
1880,20.84166667
1881,20.475
1882,21.16666667
1883,20.66666667
1884,21.18333333
1885,21.63333333
1886,21.28333333
1887,20.28333333
1888,20.975
1889,20.78333333
1890,20.55833333
1891,20.675
1892,20.36666667
1893,20.46666667
1894,20.91666667
1895,21.03333333
1896,20.94166667
1897,21.49166667
1898,21.34166667
1899,20.95833333
1900,20.93333333
1901,20.96666667
1902,20.975
1903,20.68333333
1904,20.93333333
1905,20.86666667
1906,21.50833333
1907,21.41666667
1908,21.25833333
1909,21.06666667
1910,21.375
1911,21.34166667
1912,21.36666667
1913,21.55833333
1914,22.03333333
1915,21.85833333
1916,21.1
1917,20.96666667
1918,21.79166667
1919,22.61666667
1920,21.68333333
1921,22.25
1922,22.53333333
1923,22.39166667
1924,21.83333333
1925,21.425
1926,22.50833333
1927,21.15833333
1928,22.38333333
1929,21.41666667
1930,21.4
1931,21.58333333
1932,21.51666667
1933,20.93333333
1934,21.25833333
1935,21.69166667
1936,21.74166667
1937,21.56666667
1938,22.09166667
1939,21.875
1940,22.25
1941,21.55
1942,21.74166667
1943,20.575
1944,21.63333333
1945,21.40833333
1946,21.75833333
1947,21.55
1948,21.275
1949,21.33333333
1950,21.40833333
1951,21.75833333
1952,21.50833333
1953,21.71666667
1954,21.65833333
1955,21.775
1956,21.59166667
1957,22.125
1958,22.21666667
1959,21.83333333
1960,21.625
1961,21.75833333
1962,21.925
1963,21.675
1964,22.325
1965,22.075
1966,21.63333333
1967,21.725
1968,22.55
1969,22.09166667
1970,21.975
1971,21.90833333
1972,21.86666667
1973,22.675
1974,21.675
1975,22.45833333
1976,22.125
1977,22.675
1978,21.78333333
1979,22.38333333
1980,23.04166667
1981,22.14166667
1982,22.19166667
1983,22.16666667
1984,22
1985,21.98333333
1986,22.18333333
1987,22.225
1988,22.85
1989,22.06666667
1990,22.26666667
1991,22.84166667
1992,21.51666667
1993,22.26666667
1994,22.55833333
1995,21.825
1996,22.15
1997,22.38333333
1998,22.675
1999,22.075
2000,22.74166667
2001,23.1
2002,23.05
2003,22.68333333
2004,23.41666667
2005,23.38333333
2006,23.13333333
2007,22.66666667
2008,22.1
2009,22.94166667
2010,22.60833333
2011,22.61666667
2012,22.68333333
2013,23.725
2014,23.46666667
2015,23.16666667
2016,23.84166667
2017,23.7
2018,23.375
2019,24.04166667
2020,22.6125
