city,year,temp_c
Adelaide,1977,21.27272727
Adelaide,1978,21.18333333
Adelaide,1979,21.99166667
Adelaide,1980,22.525
Adelaide,1981,22.25833333
Adelaide,1982,22.76666667
Adelaide,1983,22.18333333
Adelaide,1984,21.60833333
Adelaide,1985,21.95
Adelaide,1986,21.54166667
Adelaide,1987,22.06666667
Adelaide,1988,22.95833333
Adelaide,1989,22.15833333
Adelaide,1990,22.60833333
Adelaide,1991,22.41666667
Adelaide,1992,20.975
Adelaide,1993,22.38333333
Adelaide,1994,21.85
Adelaide,1995,21.575
Adelaide,1996,21.44166667
Adelaide,1997,22.03333333
Adelaide,1998,22.2
Adelaide,1999,22.20833333
Adelaide,2000,22.625
Adelaide,2001,22.10833333
Adelaide,2002,22.45
Adelaide,2003,22.51666667
Adelaide,2004,22.55
Adelaide,2005,22.84166667
Adelaide,2006,23.05
Adelaide,2007,23.68333333
Adelaide,2008,22.76666667
Adelaide,2009,23.5
Adelaide,2010,22.49166667
Adelaide,2011,22.74166667
Adelaide,2012,22.76666667
Adelaide,2013,23.5
Adelaide,2014,23.55833333
Adelaide,2015,23.24166667
Adelaide,2016,22.875
Adelaide,2017,23.34166667
Adelaide,2018,23.625
Adelaide,2019,23.63333333
Adelaide,2020,21.94285714
Brisbane,1999,27.2
Brisbane,2000,26.0333333
Brisbane,2001,26.7
Brisbane,2002,26.9833333
Brisbane,2003,26.2083333
Brisbane,2004,27.15
Brisbane,2005,27.0083333
Brisbane,2006,26.325
Brisbane,2007,26.4916667
Brisbane,2008,25.7166667
Brisbane,2009,26.925
Brisbane,2010,25.8166667
Brisbane,2011,25.8666667
Brisbane,2012,26.2083333
Brisbane,2013,26.6
Brisbane,2014,27.025
Brisbane,2015,26.4333333
Brisbane,2016,27.2833333
Brisbane,2017,27.3166667
Brisbane,2018,26.9833333
Brisbane,2019,27.8
Brisbane,2020,26.9083333
Brisbane,2021,26.3416667
Brisbane,2022,25.7166667
Brisbane,2023,27.1916667
Brisbane,2024,26.925
Brisbane,2025,26.0333333
Darwin,1941,30.81818182
Darwin,1942,32.625
Darwin,1943,31.05
Darwin,1944,31.25833333
Darwin,1945,31.775
Darwin,1946,31.16666667
Darwin,1947,31.875
Darwin,1948,31.725
Darwin,1949,31.16666667
Darwin,1950,31.325
Darwin,1951,31.925
Darwin,1952,32.15833333
Darwin,1953,31.53333333
Darwin,1954,31.625
Darwin,1955,31.9
Darwin,1956,31.40833333
Darwin,1957,31.54166667
Darwin,1958,32.60833333
Darwin,1959,31.88333333
Darwin,1960,31.50833333
Darwin,1961,31.8
Darwin,1962,32.13333333
Darwin,1963,31.41666667
Darwin,1964,32.00833333
Darwin,1965,31.75
Darwin,1966,32.08333333
Darwin,1967,31.85
Darwin,1968,31.7
Darwin,1969,32.44166667
Darwin,1970,32.63333333
Darwin,1971,31.71666667
Darwin,1972,32.25
Darwin,1973,32.59166667
Darwin,1974,31.38333333
Darwin,1975,32.35
Darwin,1976,32.175
Darwin,1977,31.525
Darwin,1978,32.25
Darwin,1979,32.55833333
Darwin,1980,32.21666667
Darwin,1981,31.975
Darwin,1982,31.725
Darwin,1983,31.98333333
Darwin,1984,31.60833333
Darwin,1985,32.05833333
Darwin,1986,32.08333333
Darwin,1987,32.05833333
Darwin,1988,32.4
Darwin,1989,32.03333333
Darwin,1990,32.2
Darwin,1991,31.84166667
Darwin,1992,32.31666667
Darwin,1993,32.26666667
Darwin,1994,32.10833333
Darwin,1995,31.83333333
Darwin,1996,32.40833333
Darwin,1997,31.975
Darwin,1998,32.86666667
Darwin,1999,31.81666667
Darwin,2000,31.59166667
Darwin,2001,32.13333333
Darwin,2002,32.675
Darwin,2003,32.58333333
Darwin,2004,32.14166667
Darwin,2005,32.8
Darwin,2006,31.8
Darwin,2007,32.24166667
Darwin,2008,32.525
Darwin,2009,32.675
Darwin,2010,32.60833333
Darwin,2011,31.625
Darwin,2012,32.34166667
Darwin,2013,32.68333333
Darwin,2014,32.64166667
Darwin,2015,32.625
Darwin,2016,33.23333333
Darwin,2017,32.78333333
Darwin,2018,32.825
Darwin,2019,32.975
Darwin,2020,33.10833333
Darwin,2021,32.95833333
Darwin,2022,32.875
Darwin,2023,32.90833333
Darwin,2024,33.01666667
Darwin,2025,32.42222222
Hobart,1882,14.84444444
Hobart,1883,17.04166667
Hobart,1884,16.55
Hobart,1885,16.35833333
Hobart,1886,16.45
Hobart,1887,17.06666667
Hobart,1888,16.79166667
Hobart,1889,16.95833333
Hobart,1890,17.01666667
Hobart,1891,16.94166667
Hobart,1892,17.375
Hobart,1893,16.98333333
Hobart,1894,17.075
Hobart,1895,17.24166667
Hobart,1896,16.64166667
Hobart,1897,16.65833333
Hobart,1898,16.73333333
Hobart,1899,16.93333333
Hobart,1900,17.21666667
Hobart,1901,16.85
Hobart,1902,16.30833333
