Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,40913,1999,12,27.2,Y
IDCJAC0002,40913,2000,1,29.3,Y
IDCJAC0002,40913,2000,2,28.4,Y
IDCJAC0002,40913,2000,3,28.8,Y
IDCJAC0002,40913,2000,4,26.5,Y
IDCJAC0002,40913,2000,5,23.7,Y
IDCJAC0002,40913,2000,6,21,Y
IDCJAC0002,40913,2000,7,21.8,Y
IDCJAC0002,40913,2000,8,23.5,Y
IDCJAC0002,40913,2000,9,27,Y
IDCJAC0002,40913,2000,10,26.5,Y
IDCJAC0002,40913,2000,11,26.6,Y
IDCJAC0002,40913,2000,12,29.3,Y
IDCJAC0002,40913,2001,1,30.4,Y
IDCJAC0002,40913,2001,2,29.1,Y
IDCJAC0002,40913,2001,3,29.8,Y
IDCJAC0002,40913,2001,4,26.9,Y
IDCJAC0002,40913,2001,5,24.5,Y
IDCJAC0002,40913,2001,6,23.2,Y
IDCJAC0002,40913,2001,7,22.4,Y
IDCJAC0002,40913,2001,8,23.1,Y
IDCJAC0002,40913,2001,9,25.1,Y
IDCJAC0002,40913,2001,10,27.8,Y
IDCJAC0002,40913,2001,11,27.5,Y
IDCJAC0002,40913,2001,12,30.6,Y
IDCJAC0002,40913,2002,1,31.4,Y
IDCJAC0002,40913,2002,2,31.3,Y
IDCJAC0002,40913,2002,3,29.9,Y
IDCJAC0002,40913,2002,4,27.8,Y
IDCJAC0002,40913,2002,5,24.1,Y
IDCJAC0002,40913,2002,6,22.4,Y
IDCJAC0002,40913,2002,7,22.5,Y
IDCJAC0002,40913,2002,8,22.5,Y
IDCJAC0002,40913,2002,9,26.3,Y
IDCJAC0002,40913,2002,10,27.6,Y
IDCJAC0002,40913,2002,11,28.3,Y
IDCJAC0002,40913,2002,12,29.7,Y
IDCJAC0002,40913,2003,1,30.4,Y
IDCJAC0002,40913,2003,2,28.8,Y
IDCJAC0002,40913,2003,3,27.9,Y
IDCJAC0002,40913,2003,4,26.2,Y
IDCJAC0002,40913,2003,5,24.1,Y
IDCJAC0002,40913,2003,6,22.4,Y
IDCJAC0002,40913,2003,7,21.2,Y
IDCJAC0002,40913,2003,8,22.6,Y
IDCJAC0002,40913,2003,9,27.6,Y
IDCJAC0002,40913,2003,10,26.5,Y
IDCJAC0002,40913,2003,11,27.7,Y
IDCJAC0002,40913,2003,12,29.1,Y
IDCJAC0002,40913,2004,1,31.5,Y
IDCJAC0002,40913,2004,2,32.2,Y
IDCJAC0002,40913,2004,3,29,Y
IDCJAC0002,40913,2004,4,27.4,Y
IDCJAC0002,40913,2004,5,24.7,Y
IDCJAC0002,40913,2004,6,23.3,Y
IDCJAC0002,40913,2004,7,23,Y
IDCJAC0002,40913,2004,8,23.6,Y
IDCJAC0002,40913,2004,9,25.2,Y
IDCJAC0002,40913,2004,10,28.4,Y
IDCJAC0002,40913,2004,11,28.2,Y
IDCJAC0002,40913,2004,12,29.3,Y
IDCJAC0002,40913,2005,1,30.2,Y
IDCJAC0002,40913,2005,2,30.8,Y
IDCJAC0002,40913,2005,3,29.3,Y
IDCJAC0002,40913,2005,4,27.7,Y
IDCJAC0002,40913,2005,5,24.8,Y
IDCJAC0002,40913,2005,6,21.9,Y
IDCJAC0002,40913,2005,7,22.4,Y
IDCJAC0002,40913,2005,8,23,Y
IDCJAC0002,40913,2005,9,25.5,Y
IDCJAC0002,40913,2005,10,28.3,Y
IDCJAC0002,40913,2005,11,28.1,Y
IDCJAC0002,40913,2005,12,32.1,Y
IDCJAC0002,40913,2006,1,30.6,Y
IDCJAC0002,40913,2006,2,30.8,Y
IDCJAC0002,40913,2006,3,28.3,Y
IDCJAC0002,40913,2006,4,27.8,Y
IDCJAC0002,40913,2006,5,25,Y
