Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,94029,1882,4,15.9,Y
IDCJAC0002,94029,1882,5,13,Y
IDCJAC0002,94029,1882,6,10.2,Y
IDCJAC0002,94029,1882,7,10.5,Y
IDCJAC0002,94029,1882,8,11.2,Y
IDCJAC0002,94029,1882,9,14.6,Y
IDCJAC0002,94029,1882,10,16.1,Y
IDCJAC0002,94029,1882,11,21,Y
IDCJAC0002,94029,1882,12,21.1,Y
IDCJAC0002,94029,1883,1,21.9,Y
IDCJAC0002,94029,1883,2,20.8,Y
IDCJAC0002,94029,1883,3,20.3,Y
IDCJAC0002,94029,1883,4,18.9,Y
IDCJAC0002,94029,1883,5,13.7,Y
IDCJAC0002,94029,1883,6,14.1,Y
IDCJAC0002,94029,1883,7,11.6,Y
IDCJAC0002,94029,1883,8,13.6,Y
IDCJAC0002,94029,1883,9,14.7,Y
IDCJAC0002,94029,1883,10,16.5,Y
IDCJAC0002,94029,1883,11,18.2,Y
IDCJAC0002,94029,1883,12,20.2,Y
IDCJAC0002,94029,1884,1,19.9,Y
IDCJAC0002,94029,1884,2,21.4,Y
IDCJAC0002,94029,1884,3,19.8,Y
IDCJAC0002,94029,1884,4,19.1,Y
IDCJAC0002,94029,1884,5,13.4,Y
IDCJAC0002,94029,1884,6,12,Y
IDCJAC0002,94029,1884,7,11.8,Y
IDCJAC0002,94029,1884,8,12.7,Y
IDCJAC0002,94029,1884,9,14.5,Y
IDCJAC0002,94029,1884,10,16.3,Y
IDCJAC0002,94029,1884,11,19.3,Y
IDCJAC0002,94029,1884,12,18.4,Y
IDCJAC0002,94029,1885,1,21.4,Y
IDCJAC0002,94029,1885,2,20.6,Y
IDCJAC0002,94029,1885,3,18.5,Y
IDCJAC0002,94029,1885,4,16.2,Y
IDCJAC0002,94029,1885,5,14,Y
IDCJAC0002,94029,1885,6,11.1,Y
IDCJAC0002,94029,1885,7,10.8,Y
IDCJAC0002,94029,1885,8,13.6,Y
IDCJAC0002,94029,1885,9,14.2,Y
IDCJAC0002,94029,1885,10,17.3,Y
IDCJAC0002,94029,1885,11,18,Y
IDCJAC0002,94029,1885,12,20.6,Y
IDCJAC0002,94029,1886,1,21.5,Y
IDCJAC0002,94029,1886,2,19.5,Y
IDCJAC0002,94029,1886,3,18.9,Y
IDCJAC0002,94029,1886,4,16.5,Y
IDCJAC0002,94029,1886,5,13.5,Y
IDCJAC0002,94029,1886,6,11.8,Y
IDCJAC0002,94029,1886,7,10.9,Y
IDCJAC0002,94029,1886,8,12.3,Y
IDCJAC0002,94029,1886,9,16.9,Y
IDCJAC0002,94029,1886,10,15.2,Y
IDCJAC0002,94029,1886,11,20.1,Y
IDCJAC0002,94029,1886,12,20.3,Y
IDCJAC0002,94029,1887,1,24.2,Y
IDCJAC0002,94029,1887,2,21.5,Y
IDCJAC0002,94029,1887,3,20.6,Y
IDCJAC0002,94029,1887,4,18.5,Y
IDCJAC0002,94029,1887,5,13.2,Y
IDCJAC0002,94029,1887,6,10.4,Y
IDCJAC0002,94029,1887,7,10.9,Y
IDCJAC0002,94029,1887,8,14,Y
IDCJAC0002,94029,1887,9,13.2,Y
IDCJAC0002,94029,1887,10,16.7,Y
IDCJAC0002,94029,1887,11,18.1,Y
IDCJAC0002,94029,1887,12,23.5,Y
IDCJAC0002,94029,1888,1,22.1,Y
IDCJAC0002,94029,1888,2,21.3,Y
IDCJAC0002,94029,1888,3,18.9,Y
IDCJAC0002,94029,1888,4,18.5,Y
IDCJAC0002,94029,1888,5,13.9,Y
IDCJAC0002,94029,1888,6,12.3,Y
IDCJAC0002,94029,1888,7,11.1,Y
IDCJAC0002,94029,1888,8,12.1,Y
IDCJAC0002,94029,1888,9,14.7,Y
IDCJAC0002,94029,1888,10,16,Y
IDCJAC0002,94029,1888,11,19.3,Y
IDCJAC0002,94029,1888,12,21.3,Y
IDCJAC0002,94029,1889,1,21.9,Y
IDCJAC0002,94029,1889,2,21.4,Y
IDCJAC0002,94029,1889,3,20.6,Y
IDCJAC0002,94029,1889,4,17.8,Y
IDCJAC0002,94029,1889,5,14.9,Y
IDCJAC0002,94029,1889,6,11.9,Y
IDCJAC0002,94029,1889,7,12.4,Y
IDCJAC0002,94029,1889,8,13.3,Y
IDCJAC0002,94029,1889,9,14.3,Y
IDCJAC0002,94029,1889,10,16.7,Y
IDCJAC0002,94029,1889,11,18.3,Y
IDCJAC0002,94029,1889,12,20,Y
IDCJAC0002,94029,1890,1,22.7,Y
IDCJAC0002,94029,1890,2,23.2,Y
IDCJAC0002,94029,1890,3,20.6,Y
IDCJAC0002,94029,1890,4,17.9,Y
IDCJAC0002,94029,1890,5,15.6,Y
IDCJAC0002,94029,1890,6,12.5,Y
IDCJAC0002,94029,1890,7,10.7,Y
IDCJAC0002,94029,1890,8,12.5,Y
IDCJAC0002,94029,1890,9,16,Y
IDCJAC0002,94029,1890,10,15.7,Y
IDCJAC0002,94029,1890,11,18,Y
IDCJAC0002,94029,1890,12,18.8,Y
IDCJAC0002,94029,1891,1,21.3,Y
IDCJAC0002,94029,1891,2,20.3,Y
IDCJAC0002,94029,1891,3,22.9,Y
IDCJAC0002,94029,1891,4,16.1,Y
IDCJAC0002,94029,1891,5,15.3,Y
IDCJAC0002,94029,1891,6,11.7,Y
IDCJAC0002,94029,1891,7,11.8,Y
IDCJAC0002,94029,1891,8,14.3,Y
IDCJAC0002,94029,1891,9,16,Y
IDCJAC0002,94029,1891,10,16.8,Y
IDCJAC0002,94029,1891,11,17.8,Y
IDCJAC0002,94029,1891,12,19,Y
IDCJAC0002,94029,1892,1,20.4,Y
IDCJAC0002,94029,1892,2,23,Y
IDCJAC0002,94029,1892,7,12.1,Y
IDCJAC0002,94029,1892,8,13.8,Y
IDCJAC0002,94029,1892,9,14.7,Y
IDCJAC0002,94029,1892,10,14.8,Y
IDCJAC0002,94029,1892,11,20.8,Y
IDCJAC0002,94029,1892,12,19.4,Y
IDCJAC0002,94029,1893,1,20.5,Y
IDCJAC0002,94029,1893,2,22.3,Y
IDCJAC0002,94029,1893,3,20.3,Y
IDCJAC0002,94029,1893,4,16.8,Y
IDCJAC0002,94029,1893,5,13.9,Y
IDCJAC0002,94029,1893,6,11.1,Y
IDCJAC0002,94029,1893,7,10.9,Y
IDCJAC0002,94029,1893,8,14.1,Y
IDCJAC0002,94029,1893,9,15.6,Y
IDCJAC0002,94029,1893,10,19.1,Y
IDCJAC0002,94029,1893,11,18.5,Y
IDCJAC0002,94029,1893,12,20.7,Y
IDCJAC0002,94029,1894,1,19.9,Y
IDCJAC0002,94029,1894,2,22.1,Y
IDCJAC0002,94029,1894,3,19.5,Y
IDCJAC0002,94029,1894,4,18.1,Y
IDCJAC0002,94029,1894,5,14.3,Y
IDCJAC0002,94029,1894,6,13.3,Y
IDCJAC0002,94029,1894,7,11,Y
IDCJAC0002,94029,1894,8,12.4,Y
IDCJAC0002,94029,1894,9,14.6,Y
IDCJAC0002,94029,1894,10,19,Y
IDCJAC0002,94029,1894,11,19.2,Y
IDCJAC0002,94029,1894,12,21.5,Y
IDCJAC0002,94029,1895,1,23,Y
IDCJAC0002,94029,1895,2,25.2,Y
IDCJAC0002,94029,1895,3,19.7,Y
IDCJAC0002,94029,1895,4,17.8,Y
IDCJAC0002,94029,1895,5,14.5,Y
IDCJAC0002,94029,1895,6,13.7,Y
IDCJAC0002,94029,1895,7,10.3,Y
IDCJAC0002,94029,1895,8,11.9,Y
IDCJAC0002,94029,1895,9,13.3,Y
IDCJAC0002,94029,1895,10,18.4,Y
IDCJAC0002,94029,1895,11,18.6,Y
