Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,9021,1944,6,20.4,Y
IDCJAC0002,9021,1944,7,18.3,Y
IDCJAC0002,9021,1944,8,19.5,Y
IDCJAC0002,9021,1944,9,20.3,Y
IDCJAC0002,9021,1944,10,24.6,Y
IDCJAC0002,9021,1944,11,26.8,Y
IDCJAC0002,9021,1944,12,25.5,Y
IDCJAC0002,9021,1945,1,31.5,Y
IDCJAC0002,9021,1945,2,32.1,Y
IDCJAC0002,9021,1945,3,29.7,Y
IDCJAC0002,9021,1945,4,27.7,Y
IDCJAC0002,9021,1945,5,22.1,Y
IDCJAC0002,9021,1945,6,18.8,Y
IDCJAC0002,9021,1945,7,17.5,Y
IDCJAC0002,9021,1945,8,17.5,Y
IDCJAC0002,9021,1945,9,18.8,Y
IDCJAC0002,9021,1945,10,23.2,Y
IDCJAC0002,9021,1945,11,25.8,Y
IDCJAC0002,9021,1945,12,28.4,Y
IDCJAC0002,9021,1946,1,28.2,Y
IDCJAC0002,9021,1946,2,29.8,Y
IDCJAC0002,9021,1946,3,28,Y
IDCJAC0002,9021,1946,4,26.6,Y
IDCJAC0002,9021,1946,5,21.1,Y
IDCJAC0002,9021,1946,6,18.1,Y
IDCJAC0002,9021,1946,7,16.7,Y
IDCJAC0002,9021,1946,8,17.7,Y
IDCJAC0002,9021,1946,9,21.2,Y
IDCJAC0002,9021,1946,10,24.3,Y
IDCJAC0002,9021,1946,11,24.4,Y
IDCJAC0002,9021,1946,12,27.4,Y
IDCJAC0002,9021,1947,1,29.6,Y
IDCJAC0002,9021,1947,2,32,Y
IDCJAC0002,9021,1947,3,30.2,Y
IDCJAC0002,9021,1947,4,24.5,Y
IDCJAC0002,9021,1947,5,20.4,Y
IDCJAC0002,9021,1947,6,19.4,Y
IDCJAC0002,9021,1947,7,17.8,Y
IDCJAC0002,9021,1947,8,18.3,Y
IDCJAC0002,9021,1947,9,20.1,Y
IDCJAC0002,9021,1947,10,21.2,Y
IDCJAC0002,9021,1947,11,24.9,Y
IDCJAC0002,9021,1947,12,26,Y
IDCJAC0002,9021,1948,1,30.9,Y
IDCJAC0002,9021,1948,2,32,Y
IDCJAC0002,9021,1948,3,31.9,Y
IDCJAC0002,9021,1948,4,23.8,Y
IDCJAC0002,9021,1948,5,23,Y
IDCJAC0002,9021,1948,6,19.3,Y
IDCJAC0002,9021,1948,7,18,Y
IDCJAC0002,9021,1948,8,19.7,Y
IDCJAC0002,9021,1948,9,19.7,Y
IDCJAC0002,9021,1948,10,22.1,Y
IDCJAC0002,9021,1948,11,25.1,Y
IDCJAC0002,9021,1948,12,26.1,Y
IDCJAC0002,9021,1949,1,31.6,Y
IDCJAC0002,9021,1949,2,32,Y
IDCJAC0002,9021,1949,3,28.9,Y
IDCJAC0002,9021,1949,4,27.7,Y
IDCJAC0002,9021,1949,5,21.7,Y
IDCJAC0002,9021,1949,6,20.6,Y
IDCJAC0002,9021,1949,7,18.9,Y
IDCJAC0002,9021,1949,8,19.5,Y
IDCJAC0002,9021,1949,9,20.7,Y
IDCJAC0002,9021,1949,10,20.7,Y
IDCJAC0002,9021,1949,11,25.5,Y
IDCJAC0002,9021,1949,12,29.7,Y
IDCJAC0002,9021,1950,1,32.7,Y
IDCJAC0002,9021,1950,2,31.5,Y
IDCJAC0002,9021,1950,3,30.9,Y
IDCJAC0002,9021,1950,4,27.2,Y
IDCJAC0002,9021,1950,5,21.1,Y
IDCJAC0002,9021,1950,6,19.2,Y
IDCJAC0002,9021,1950,7,18,Y
IDCJAC0002,9021,1950,8,19,Y
IDCJAC0002,9021,1950,9,19.7,Y
IDCJAC0002,9021,1950,10,21.2,Y
IDCJAC0002,9021,1950,11,23.3,Y
IDCJAC0002,9021,1950,12,27.6,Y
IDCJAC0002,9021,1951,1,28.2,Y
IDCJAC0002,9021,1951,2,29.8,Y
IDCJAC0002,9021,1951,3,29.4,Y
IDCJAC0002,9021,1951,4,24.3,Y
IDCJAC0002,9021,1951,5,20.1,Y
IDCJAC0002,9021,1951,6,17.8,Y
IDCJAC0002,9021,1951,7,17.1,Y
IDCJAC0002,9021,1951,8,17.4,Y
IDCJAC0002,9021,1951,9,21,Y
IDCJAC0002,9021,1951,10,22.3,Y
IDCJAC0002,9021,1951,11,25.1,Y
IDCJAC0002,9021,1951,12,26.9,Y
IDCJAC0002,9021,1952,1,31.3,Y
IDCJAC0002,9021,1952,2,30.9,Y
IDCJAC0002,9021,1952,3,29.5,Y
IDCJAC0002,9021,1952,4,26.2,Y
IDCJAC0002,9021,1952,5,20.5,Y
IDCJAC0002,9021,1952,6,19.1,Y
IDCJAC0002,9021,1952,7,16.7,Y
IDCJAC0002,9021,1952,8,18.6,Y
IDCJAC0002,9021,1952,9,19.4,Y
IDCJAC0002,9021,1952,10,21.5,Y
IDCJAC0002,9021,1952,11,23.8,Y
IDCJAC0002,9021,1952,12,25.7,Y
IDCJAC0002,9021,1953,1,30.4,Y
IDCJAC0002,9021,1953,2,29.3,Y
IDCJAC0002,9021,1953,3,28.8,Y
IDCJAC0002,9021,1953,4,25.3,Y
IDCJAC0002,9021,1953,5,21.3,Y
IDCJAC0002,9021,1953,6,17.8,Y
IDCJAC0002,9021,1953,7,17.5,Y
IDCJAC0002,9021,1953,8,18.1,Y
IDCJAC0002,9021,1953,9,20.9,Y
IDCJAC0002,9021,1953,10,20.7,Y
IDCJAC0002,9021,1953,11,24.2,Y
IDCJAC0002,9021,1953,12,26.8,Y
IDCJAC0002,9021,1954,1,31,Y
IDCJAC0002,9021,1954,2,31.9,Y
IDCJAC0002,9021,1954,3,27.9,Y
IDCJAC0002,9021,1954,4,24.2,Y
IDCJAC0002,9021,1954,5,20.8,Y
IDCJAC0002,9021,1954,6,18.3,Y
IDCJAC0002,9021,1954,7,17.8,Y
IDCJAC0002,9021,1954,8,18.3,Y
IDCJAC0002,9021,1954,9,21.4,Y
IDCJAC0002,9021,1954,10,23.9,Y
IDCJAC0002,9021,1954,11,22.3,Y
IDCJAC0002,9021,1954,12,27.9,Y
IDCJAC0002,9021,1955,1,31.9,Y
IDCJAC0002,9021,1955,2,32,Y
IDCJAC0002,9021,1955,3,29.7,Y
IDCJAC0002,9021,1955,4,23.8,Y
IDCJAC0002,9021,1955,5,19.8,Y
